# N=5 J=0.075 gamma=0.05 Q=1.4999999999999998 sigma=0.25 center=-0.25
Re,Im
-0.19999999999999946,-0.20490381056766574
-0.19999999999999993,0.20490381056766538
-0.22010796482446654,-0.30162332672418035
-0.22010796482446507,0.3016233267241777
-0.27989203517553446,-0.30162332672417885
-0.27989203517553124,0.3016233267241783
-0.23985220406182836,0.35331850385714714
-0.23985220406183014,-0.3533185038571487
-0.2601477959381704,0.35331850385714847
-0.2601477959381705,-0.3533185038571481
-0.26014779593817317,-0.35331850385714947
-0.23985220406182928,-0.3533185038571492
-0.2798920351755327,-0.3016233267241772
-0.2601477959381722,0.3533185038571495
-0.2398522040618266,0.3533185038571465
-0.5000000000000008,6.10914616038957E-17
-0.2798920351755351,0.3016233267241816
-0.47599310598277395,-9.38851522028479E-16
-0.3999999999999989,-0.12990381056766537
-0.5000000000000002,-2.4236746642393796E-16
-0.27989203517553624,-0.3016233267241819
-0.27989203517553246,-0.30162332672417896
-0.2863242054915811,-0.2640490902669888
-0.1629295369590749,-0.2300572024574536
-0.47599310598278405,3.7139306375632306E-16
-0.27989203517553457,0.30162332672417885
-0.21367579450842153,-0.2640490902669864
-0.22010796482446512,0.30162332672417913
-0.1629295369590773,0.23005720245745695
-0.22010796482446604,0.30162332672417846
-0.3370704630409222,0.23005720245745476
3.6119674642070543E-16,4.906495512175696E-16
-0.22010796482446715,-0.3016233267241809
-0.27989203517553124,0.3016233267241767
-0.27989203517553474,0.3016233267241813
-0.22010796482446615,-0.30162332672417963
-0.27989203517553435,-0.30162332672417913
-0.3370704630409248,0.23005720245745617
-0.39999999999999997,0.12990381056766495
-0.16292953695907703,-0.23005720245745662
-0.22010796482446746,0.3016233267241803
-0.2201079648244676,-0.30162332672418146
-0.22010796482446737,-0.30162332672418
-0.21367579450842214,0.2640490902669883
-0.3370704630409234,-0.2300572024574565
-0.16292953695907636,0.23005720245745614
-0.3000000000000002,0.2049038105676662
-0.22010796482446668,0.3016233267241806
-0.28632420549157994,0.26404909026698886
-0.499999999999998,-9.945962510617168E-16
-1.3526664609007119E-16,-3.3474292100573613E-16
-0.4000000000000001,-0.0749999999999999
-0.39999999999999925,-0.1299038105676658
-0.33707046304092325,-0.23005720245745576
-0.4000000000000015,0.0749999999999997
-0.02400689401722034,2.7388963762794758E-17
-0.28632420549157944,-0.2640490902669871
-0.24853570047247137,0.22154718084975797
-0.2514642995275269,0.2215471808497587
-0.2863242054915767,0.26404909026698514
-0.3000000000000019,-0.20490381056766516
-0.3370704630409253,0.2300572024574563
-0.21367579450842353,-0.26404909026698736
-0.21367579450842192,0.2640490902669878
-0.10000000000000053,-0.12990381056766584
-0.4485518936203161,9.457933496341895E-16
-0.337070463040923,-0.23005720245745503
-0.3999999999999999,0.12990381056766487
-0.2968402733318477,-0.22782065447908997
-0.0240068940172221,1.9205145930503575E-16
-0.30000000000000016,0.2049038105676631
-0.0514481063796826,-1.459336124165489E-16
-0.35541165140110664,-0.16546576265089452
-0.29684027333184804,0.22782065447909017
-0.2031597266681542,-0.22782065447908875
-0.02400689401722145,-8.263191463123721E-17
-0.2968402733318484,-0.22782065447909017
-0.20315972666815577,0.22782065447908892
-0.29684027333184704,-0.2278206544790894
-0.29684027333184526,0.227820654479089
-0.2968402733318459,0.22782065447908947
-0.4000000000000011,0.1299038105676659
-0.3000000000000028,0.20490381056766652
2.820543379605346E-16,-2.3534371451293787E-16
-0.20315972666815368,-0.22782065447908798
-0.2485357004724702,-0.22154718084975822
-0.251464299527528,-0.22154718084976047
-0.30000000000000004,-0.2049038105676654
-0.30000000000000027,-0.2049038105676657
-4.692134276645027E-16,1.8907608458467481E-16
-0.25146429952752863,-0.22154718084975958
-0.30000000000000077,-0.20490381056766654
-0.2514642995275302,-0.22154718084975977
-0.2485357004724745,-0.2215471808497607
-0.2485357004724736,-0.22154718084976022
-0.20315972666815324,0.22782065447908784
-0.2031597266681555,-0.22782065447908934
-0.20315972666815496,0.2278206544790885
-0.20315972666815588,-0.22782065447909078
-0.2031597266681538,0.2278206544790885
-0.47599310598277833,3.9781725571296886E-16
-0.16292953695907836,-0.23005720245745506
-0.40000000000000024,-0.12990381056766634
-0.16292953695907542,0.2300572024574543
-0.14458834859889566,-0.16546576265089302
-0.36074480764287153,-0.1311802616467821
