window,t_peak,cpsi_AB,bell_dominant,Phi+,Phi-,Psi+,Psi-,bell_entropy_bits,ab_purity,S_coherence,rho00_eq_rho11_absdiff,rho01_eq_rho10_absdiff,rho03_phase_rad,rho12_phase_rad
0,0.235,0.30548148117103013,Phi+,0.7350915374079635,0.056678134066936905,0.046246943577928426,0.16198338494717093,1.191555172472475,0.6449876395525191,0.579460806037418,0.0,1.3877787807814457e-17,0.0,3.141592653589793
1,0.395,0.3292417357956188,Phi+,0.7887536913610087,0.07194686274450496,0.04874824416006198,0.09055120173442406,1.0694496926408876,0.7118107411052002,0.7020012478084352,0.0,0.0,0.0,3.141592653589793
2,0.695,0.12379567201901297,Phi-,0.20659948504325834,0.3159550080501095,0.3067630344568824,0.17068247244974957,1.9535316081804432,0.470231303120906,0.0022982553898029945,5.551115123125783e-17,5.551115123125783e-17,3.141592653589793,0.0
3,1.06,0.1682259979183175,Phi+,0.6046142550179139,0.12116349419581617,0.07598589203023018,0.19823635875603954,1.553185708364016,0.5158334808470402,0.4171197658641652,5.551115123125783e-17,5.551115123125783e-17,-5.741138056837711e-17,-3.1415926535897927
4,1.575,0.15126898882950415,Phi+,0.5715684811759697,0.15586695171117995,0.10782712814359179,0.16473743896925863,1.6543098016224116,0.49182512154849717,0.43422337298315206,0.0,8.326672684688674e-17,6.676803823975305e-17,-3.141592653589793
5,1.96,0.03569566406820328,Phi-,0.24682362087650112,0.2944983415025689,0.25744606611384374,0.20123197150708608,1.9870526890925206,0.42356035965702166,0.001036030688309205,5.551115123125783e-17,0.0,3.1415926535897922,-9.874952468697173e-16
6,2.255,0.13852240216738748,Phi+,0.6624083226530052,0.1534539146777771,0.07179501866523454,0.11234274400398318,1.4357165463070278,0.5211105583210719,0.6149718716296052,5.551115123125783e-17,2.7755575615628914e-17,-1.0906900571329695e-16,3.1415926535897913
7,2.4,0.12204840602573006,Phi+,0.6467338841670198,0.15511071096973092,0.06604242188940321,0.1321129829738459,1.468380401250995,0.4958279672211837,0.5698846851732113,5.551115123125783e-17,2.7755575615628914e-17,-2.5405655607736687e-16,3.1415926535897927
