Lens Survey Summary
Computed: 2026-04-11 09:05

 N  Topology    Profile                 SlowRate    SEFrac  psi_opt_shape                             |c_slow|     2ndRate       2ndSE
 5  ring        uniform                   0,1600    1,0000  [0,175,0,663,0,656,0,232,0,213]             0,1498     -0,1000   0,00E+000
 5  ring        edge_sacrifice            0,0032    1,0000  [0,000,0,649,0,281,0,281,0,649]             0,0000     -0,0020   0,00E+000
 5  ring        center_sacrifice          0,0032    1,0000  [0,389,0,591,0,000,0,591,0,389]             0,0000     -0,0020   0,00E+000
 5  ring        moderate_asymmetry        0,1888    1,0000  [0,718,0,347,0,310,0,506,0,108]             0,0103     -0,1144   0,00E+000
 6  ring        uniform                   0,1333    1,0000  [0,617,0,565,0,173,0,113,0,272,0,430]       0,1051     -0,1000   0,00E+000
 6  ring        edge_sacrifice            0,0030    1,0000  [0,000,0,500,0,500,0,000,0,500,0,500]       0,1735     -0,0020   0,00E+000
 6  ring        center_sacrifice          0,0030    1,0000  [0,000,0,500,0,500,0,000,0,500,0,500]       0,1682     -0,0020   0,00E+000
 6  ring        moderate_asymmetry        0,1625    1,0000  [0,476,0,509,0,066,0,448,0,552,0,065]       0,0537     -0,1192   0,00E+000
 3  complete    uniform                   0,1000    0,0000  n/a                                            NaN     -0,1000         NaN
 3  complete    edge_sacrifice            0,0030    0,9985  [0,000,0,707,0,707]                         0,2746     -0,0020   0,00E+000
 3  complete    center_sacrifice          0,0030    0,9854  [0,707,0,000,0,707]                         0,2874     -0,0020   0,00E+000
 3  complete    moderate_asymmetry        0,1106    0,0000  n/a                                            NaN     -0,1106         NaN
 4  complete    uniform                   0,1000    1,0000  [0,227,0,233,0,858,0,398]                   0,0675     -0,0845   0,00E+000
 4  complete    edge_sacrifice            0,0027    1,0000  [0,867,0,288,0,288,0,288]                   0,2875     -0,0020   0,00E+000
 4  complete    center_sacrifice          0,0027    1,0000  [0,288,0,288,0,867,0,288]                   0,3155     -0,0020   0,00E+000
 4  complete    moderate_asymmetry        0,1207    0,9999  [0,707,0,707,0,000,0,000]                   0,0552     -0,1038   0,00E+000
