t,K,global_CPsi,local_CPsi,light
0,0,0.032258064516129226,0.3333333333333333,1.0000000000000004
0.3389830508474576,0.01694915254237288,0.028969498437414212,0.2916652715038825,0.932471762975672
0.6779661016949152,0.03389830508474576,0.026153440933374322,0.2562559828697746,0.8658983341037559
1.0169491525423728,0.05084745762711865,0.023733949453728646,0.22606287124479577,0.80087646446419
1.3559322033898304,0.06779661016949153,0.021647890885868555,0.20022458395526768,0.737946615729613
1.694915254237288,0.0847457627118644,0.019842732113446563,0.17802920491017823,0.67757678779002
2.0338983050847457,0.1016949152542373,0.018274716258050678,0.15888800323992514,0.6201513900276416
2.3728813559322033,0.11864406779661017,0.016907356723219136,0.14231377671176493,0.5659654682646824
2.711864406779661,0.13559322033898305,0.015710193197053527,0.12790299343466874,0.5152240595777536
3.0508474576271185,0.15254237288135594,0.01465776365450243,0.11532107187454714,0.46804601353197867
3.389830508474576,0.1694915254237288,0.01372875452160302,0.1042902525718173,0.424471333816854
3.7288135593220337,0.1864406779661017,0.0129052978391881,0.09457960907043796,0.38447096806077025
4.067796610169491,0.2033898305084746,0.012172389752564773,0.08599682366753289,0.3479579874006153
4.406779661016949,0.22033898305084745,0.011517409169046564,0.07838141837242686,0.3147992156609875
4.745762711864407,0.23728813559322035,0.010929719141079885,0.07159918517019695,0.2848265492128797
5.084745762711864,0.2542372881355932,0.010400336591710737,0.06553760418900104,0.25784741413166606
5.423728813559322,0.2711864406779661,0.009921658518255931,0.060102075230690055,0.2336540069475099
5.762711864406779,0.288135593220339,0.009487234885229926,0.055212818637615305,0.21203113925674397
6.101694915254237,0.3050847457627119,0.0090915801275835,0.05080232671442869,0.19276264472165297
6.440677966101695,0.3220338983050848,0.008730016594808897,0.046813267799914314,0.17563640725733606
6.779661016949152,0.3389830508474576,0.008398544428583711,0.043196762337060074,0.16044813442498215
7.11864406779661,0.3559322033898305,0.008093733325035763,0.03991096454025772,0.14700403600948425
7.4576271186440675,0.3728813559322034,0.007812632423318654,0.036919895022289526,0.13512258126008822
7.796610169491525,0.3898305084745763,0.0075526952145299475,0.03419247944881542,0.1246355059066346
8.135593220338983,0.4067796610169492,0.007311716903391668,0.031701756289826626,0.11538822752097412
8.474576271186441,0.42372881355932207,0.007087782099548964,0.02942422333087154,0.10723980958316062
8.813559322033898,0.4406779661016949,0.006879221082310551,0.027339298036300686,0.10006259405377914
9.152542372881356,0.45762711864406785,0.006684573185720678,0.025428871324987393,0.09374160161336292
9.491525423728813,0.4745762711864407,0.006502556101204151,0.023676937993816503,0.08817377942254107
9.830508474576272,0.4915254237288136,0.006332040101876895,0.022069290044667535,0.083267159057192
10.169491525423728,0.5084745762711864,0.006172026363564154,0.020593261651624235,0.07893997250436395
10.508474576271187,0.5254237288135594,0.0060216286988820245,0.01923751654178454,0.07511976179245432
10.847457627118644,0.5423728813559322,0.005880058137581125,0.017991870233882025,0.07174250781839615
11.186440677966102,0.5593220338983051,0.005746609882988823,0.016847140948831784,0.06875179597520234
11.525423728813559,0.576271186440678,0.005620652254332319,0.015795024128816438,0.06609802998674666
11.864406779661017,0.5932203389830509,0.005501617290884288,0.014827986420782733,0.06373770063290872
12.203389830508474,0.6101694915254238,0.00538899274863878,0.013939175732611627,0.061632712526519494
12.542372881355933,0.6271186440677967,0.0052823152655758045,0.013122344585720636,0.059749769543565805
12.88135593220339,0.6440677966101696,0.005181164509142043,0.012371784491121975,0.05805981770381243
13.220338983050848,0.6610169491525424,0.005085158150708135,0.011682269487269636,0.056537543078498655
13.559322033898304,0.6779661016949152,0.004993947537576606,0.011049007314056516,0.05516092152463257
13.898305084745763,0.6949152542372882,0.004907213954525073,0.010467596971752268,0.053910816599093754
14.23728813559322,0.711864406779661,0.004824665384639421,0.00993399163773846,0.05277062180134452
14.576271186440678,0.728813559322034,0.004746033693947171,0.009444466096806487,0.05172594326194286
14.915254237288135,0.7457627118644068,0.004671072176622102,0.008995587990086427,0.0507643190821402
15.254237288135593,0.7627118644067797,0.004599553407725635,0.008584192309545583,0.049874971697524605
15.59322033898305,0.7796610169491526,0.004531267358933241,0.008207358664492813,0.04904858985594636
15.932203389830509,0.7966101694915255,0.004466019739758442,0.007862390927779626,0.048277137044876434
16.271186440677965,0.8135593220338984,0.004403630532675215,0.0075467989357787995,0.04755368346006718
16.610169491525422,0.8305084745762712,0.0043439326954521525,0.007258281970501691,0.046872258864750584
16.949152542372882,0.8474576271186441,0.004286771008115066,0.006994713796636088,0.04622772393904662
17.28813559322034,0.864406779661017,0.004232001045385122,0.00675412906267843,0.04561565795779622
17.627118644067796,0.8813559322033898,0.004179488258312833,0.006534710905194036,0.04503226085865346
17.966101694915253,0.8983050847457626,0.004129107151235506,0.0063347796197787305,0.044474267969384446
18.305084745762713,0.9152542372881357,0.004080740542208412,0.006152782282507394,0.04393887585329354
18.64406779661017,0.9322033898305085,0.004034278896759482,0.005987283222341623,0.04342367790463813
18.983050847457626,0.9491525423728814,0.003989619726250291,0.005836955258785261,0.0429266084823321
19.322033898305083,0.9661016949152542,0.003946667043334267,0.005700571630552577,0.042445894511053656
19.661016949152543,0.9830508474576272,0.0039053308680256893,0.005576998550582315,0.04198001360505667
20,1,0.0038655267787588436,0.005465188330740462,0.04152765788268774
