# N=5 J=0.075 gamma=0.05 Q=1.4999999999999998 sigma=0.25 center=-0.25
Re,Im
-0.1999999999999993,-0.21959146899884896
-0.2999999999999993,-0.21959146899884918
-0.20000000000000095,-0.21959146899885001
-0.40000000000000285,-0.1356762745781217
-0.4945544682257132,4.1733644290587923E-16
-0.00544553177428747,-2.316883377324855E-17
-0.4795174488798813,-5.250037290306007E-16
-0.09999999999999921,-0.13567627457812073
-0.5000000000000006,6.882491903734413E-17
-0.49999999999999944,-8.973399280576277E-16
-9.177807719750972E-17,-3.042285709348963E-17
-0.4948768096762144,8.56602694912651E-16
-0.20000000000000112,-0.16553300858899164
-0.4890751314005217,5.67735788755544E-16
-0.3000000000000007,-0.16553300858899184
3.003123046777961E-16,-3.678461607235209E-16
-0.09999999999999995,-0.13567627457812054
-0.10000000000000019,0.13567627457812173
-0.3999999999999978,-0.09817627457811966
-0.39069891933013773,-0.12493161531584875
-0.4800377492379081,-4.1576757045109694E-16
-0.394174625644186,-0.1193479396094793
-0.47922107907568984,7.235385797663798E-16
-0.5000000000000004,7.693653316182163E-16
-0.1999999999999994,-0.1655330085889918
-0.19999999999999882,0.21959146899884924
-0.40000000000000396,0.13567627457812306
-0.3000000000000011,0.21959146899884968
-0.020482551120117255,1.4795970470046823E-16
-0.494876809676216,1.6791322440169376E-16
-0.4589667854958981,8.058141180044595E-16
-0.4890751314005214,-3.8163916471567267E-16
-0.3000000000000012,0.21959146899884963
-0.010924868599478778,-1.2592651539733193E-16
-0.04103321450410439,9.610951373546069E-18
-0.005123190323785417,7.713593022766751E-17
-0.10930108066985933,-0.12493161531584986
-0.10000000000000026,-0.0981762745781225
-0.48003774923791054,1.7696028154071829E-16
-0.47922107907569195,-2.773842976828487E-16
-1.7439294072435649E-16,-2.66387134540021E-16
-0.1058253743558173,-0.11934793960947784
-0.2875696741582166,-0.16952922426218897
-0.3704133521357826,-0.1182505853991377
-0.09999999999999973,-0.0981762745781201
-0.21243032584178387,-0.16952922426219014
-0.44026888682301446,-5.273883572137799E-16
-0.4000000000000011,0.09817627457812023
-0.4000000000000045,-0.05182372542187773
-0.29010366497449636,-0.16186921524802425
-0.1999999999999998,0.21959146899884924
-0.2080750031448703,-0.1780806106501879
-0.20911914597035183,-0.17816009788133486
-0.3,-0.13567627457812148
-0.005123190323784716,-2.182009535371525E-16
-0.38856602345471425,-0.10750158237636298
-0.46060830348918297,1.272668310194954E-16
-0.38664972454636704,-0.10721212683428918
-0.010924868599477774,8.430708999787058E-17
-0.0199622507620919,-2.751500889182594E-16
-0.039391696510817566,6.2423038855154155E-18
-0.2908808540296479,0.17816009788133483
-0.2919249968551292,0.17808061065018865
-0.3948735885774729,-0.0695452056727192
-0.4606083034891803,3.2555987957475726E-16
-0.19999999999999796,-0.1356762745781196
-0.29192499685512524,-0.17808061065018713
-0.020778920924309555,-1.1253536889978723E-16
-0.20000000000000032,-0.13567627457812156
-0.2080750031448719,0.17808061065018987
-0.4513378867487016,-3.7208327225951686E-16
-0.3905970869873999,-0.0689293105085329
-0.2908808540296495,-0.1781600978813357
-0.2999999999999982,-0.12456139403487271
-0.20911914597035317,0.17816009788133633
-0.4460397969240166,-3.4344582813655533E-16
-0.209896335025505,-0.1618692152480232
-0.4513378867487027,2.88069639657576E-16
-0.43224524794215563,2.4676856689607874E-15
-0.019962250762091446,-3.970661274061508E-17
-0.020778920924309732,1.418641936504172E-17
-0.3999999999999982,-0.0143237254218788
-0.28756967415821644,0.16952922426219016
-0.44603979692401635,8.258367947822087E-16
-0.10000000000000063,0.09817627457812016
-0.39069891933013867,0.12493161531585023
-0.38856602345471747,0.10750158237636502
-0.3751661153290794,-0.09963154158292604
-0.29088085402964675,-0.1781600978813356
-0.2919249968551278,-0.17808061065018851
-0.3941746256441842,0.11934793960947813
-0.0486621132512968,-2.9479810869395624E-16
-0.10930108066986029,0.12493161531584934
-0.39465516075376084,0.058223895086737365
-0.3906989193301421,0.12493161531585
-0.39147519447635515,0.06326316625439654
-0.05973111317698556,-5.134745357642193E-16
-0.394174625644184,0.1193479396094786
-0.3000000000000004,0.1655330085889916
-0.23472462615608766,-0.14866321771625585
-0.37041335213578147,0.11825058539913691
-0.3866497245463639,0.10721212683428985
-0.19999999999999926,-0.12456139403487292
-0.200000000000002,-0.12456139403487368
-0.3866497245463661,0.1072121268342902
-0.20807500314487332,-0.1780806106501896
-0.20911914597035378,-0.17816009788133588
-0.12958664786421759,-0.11825058539913526
-0.2652753738439122,-0.1486632177162558
-0.11143397654528371,-0.10750158237636304
-0.3885660234547171,-0.10750158237636474
-0.11335027545363563,-0.10721212683428988
-0.3866497245463648,-0.10721212683429061
-0.3445989849425645,-0.1049902143787994
-0.29412376212045327,-0.13940588621086167
-0.5000000000000012,-2.1299802348505715E-15
-0.49455446822571303,4.1242894883239245E-16
-0.372417466574593,-0.07407962401054248
-0.38442295342834815,-0.07377426910697481
-0.432245247942153,3.32650364579879E-16
-0.3946551607537644,-0.058223895086737726
-0.3914751944763549,-0.06326316625439629
-0.37516611532907634,-0.09963154158292678
-0.2927965338099311,-0.12276720927966676
-0.4795174488798876,2.4020220870749694E-18
-0.3999999999999969,0.051823725421879296
-0.37516611532907984,0.09963154158292774
-0.29192499685512774,0.178080610650189
-0.2908808540296454,0.17816009788133544
-0.4131429901046365,-1.3290476472225497E-16
-0.38856602345471736,0.10750158237636472
-0.039391696510817066,1.4956893547180743E-16
-0.10000000000000048,-0.051823725421879865
-0.3948735885774748,0.0695452056727196
-0.36308983651505666,-0.07192468666101584
-0.37041335213578125,0.11825058539913715
-0.20000000000000037,0.16553300858899048
-0.39683547261954905,-0.021415000041707443
-0.38099265545188227,0.06205722536713708
-0.10512641142252735,-0.069545205672719
-0.09999999999999995,-0.05182372542187912
-0.30000000000000204,0.1655330085889913
-0.20911914597035305,0.17816009788133544
-0.20807500314487223,0.17808061065018876
-0.04866211325129754,-1.142352470440263E-17
-0.2875696741582165,0.16952922426219097
-0.06775475205784627,-2.645859876679314E-16
-0.39421781113129856,-0.016889656500562303
-0.053960203075982795,-1.8664647560747874E-16
-0.384422953428349,0.07377426910697539
-0.1058253743558175,0.11934793960947869
-5.593449146755881E-16,-1.3517347889418736E-16
-0.10930108066986075,0.12493161531584977
-0.005445531774287911,3.4732196226169965E-17
-0.1295866478642188,0.1182505853991364
-0.11335027545363609,0.10721212683428996
-0.21243032584178237,0.16952922426218964
-0.1058253743558186,0.11934793960947854
-0.29010366497449547,0.16186921524802256
-0.05396020307598165,-4.882113347799207E-17
-0.38099265545188143,-0.06205722536713637
-0.2124303258417824,0.16952922426219016
-0.2901036649744946,0.1618692152480231
-0.2652753738439143,0.1486632177162571
-0.39059708698739815,0.06892931050853451
-0.11143397654528447,0.1075015823763655
-0.20989633502550756,0.16186921524802383
-0.3905970869873973,0.06892931050853479
-0.11143397654528614,0.10750158237636528
-0.20989633502550561,0.1618692152480218
-0.11143397654528522,-0.10750158237636386
-0.1133502754536358,-0.10721212683428956
-0.12483388467092228,-0.09963154158292724
-0.20587623787954765,-0.13940588621086292
-0.10000000000000077,-0.014323725421879149
-0.020482551120116765,6.908474833188958E-17
-0.19999999999999793,0.16553300858899134
-0.04103321450410429,2.4334924995776324E-16
-0.09999999999999948,0.05182372542187885
-0.11335027545363656,0.10721212683429074
-0.10940291301260184,-0.06892931050853422
-0.0677547520578455,3.1913539605135E-16
-0.12483388467092223,0.09963154158292695
-0.1295866478642179,0.11825058539913719
-0.2347246261560864,0.1486632177162549
-0.40000000000000324,0.1356762745781208
-0.2146470719773776,-0.13164914424514979
-0.2000000000000012,-0.09817627457812114
-0.19276180707668253,-0.1168849109590812
-0.29412376212045555,-0.13940588621086275
-0.29442936782730683,-0.11842084570004374
-0.45896678549589687,1.4763564042076169E-15
-0.3072381929233146,-0.11688491095908075
-0.3,-0.09817627457812207
-0.38442295342834787,-0.07377426910697515
-0.39147519447635354,-0.06326316625439554
-0.394655160753763,-0.05822389508673699
-0.39069891933013723,-0.1249316153158503
-0.37516611532907557,0.09963154158292675
-0.2999999999999983,0.1356762745781195
-0.3941746256441839,-0.11934793960947924
-0.3013842668749084,-0.11566086288990847
-0.4000000000000027,1.0149853267185126E-15
-0.39487358857747024,0.06954520567271875
-0.3683369946508058,0.06088789619302988
-0.4131429901046354,-7.990347588979264E-17
-0.39293864233587206,-0.029424765917930102
-0.4402688868230157,-9.691402782731698E-16
-0.37241746657459435,0.07407962401054208
-0.2853529280226216,-0.13164914424515062
-0.38131470201290235,0.0555750560034516
-0.39343260218862564,0.030936588501041112
-0.38442295342835,0.07377426910697536
-0.3934326021886232,-0.030936588501041307
-0.294123762120454,0.13940588621086333
-0.2941237621204542,0.1394058862108613
-0.3813147020129035,-0.05557505600345219
-0.3968354726195472,0.02141500004170889
-0.3813147020129024,-0.055575056003451195
-0.28535292802261963,-0.1316491442451509
-0.3929386423358776,0.029424765917929665
-0.34459898494256447,0.10499021437879963
-0.344598984942566,0.1049902143788004
-0.39343260218862464,-0.03093658850104102
-0.1248338846709219,-0.09963154158292752
-0.15540101505743584,-0.10499021437879898
-0.10512641142252815,0.06954520567271898
-0.20587623787954498,-0.13940588621086136
-0.10534483924623604,0.05822389508673722
-0.10852480552364474,0.06326316625439594
-0.28756967415821516,-0.1695292242621897
-0.10000000000000052,-0.01432372542187856
-0.12758253342540707,-0.07407962401054262
-0.10000000000000173,0.01432372542187825
-0.20587623787954412,0.13940588621086147
-0.39999999999999647,0.09817627457812156
-0.10534483924623497,-0.05822389508673714
-0.2652753738439103,0.1486632177162551
-0.37041335213578114,-0.11825058539913777
-0.20720346619006852,-0.12276720927966774
-0.20557063217269472,-0.11842084570004326
-0.36833699465080355,-0.060887896193028125
-0.19861573312509162,-0.11566086288990941
-0.3072381929233161,0.11688491095908336
-0.3809926554518828,-0.06205722536713729
-0.30138426687490977,0.11566086288990936
-0.2999999999999984,0.12456139403487226
-0.39999999999999986,0.014323725421878652
-0.39502122458842875,-0.000404065722982877
-0.3630898365150556,0.07192468666101477
-0.38371019298907477,-0.018261176749879277
-0.37241746657459673,0.0740796240105431
-0.2853529280226232,0.1316491442451509
-0.11557704657165149,-0.07377426910697514
-0.10852480552364549,-0.06326316625439622
-0.11557704657165191,-0.07377426910697488
-0.10852480552364532,-0.0632631662543955
-0.381314702012902,0.05557505600345053
-0.39293864233587167,0.02942476591793
-0.28535292802261936,0.13164914424514937
-0.39683547261954877,0.021415000041708095
-0.393432602188625,0.030936588501041355
-0.09999999999999994,0.13567627457812165
-0.21243032584178248,-0.16952922426218908
-0.10930108066986075,-0.12493161531585033
-0.29010366497449436,-0.16186921524802284
-0.12483388467092084,0.09963154158292684
-0.10582537435581682,-0.11934793960947804
-0.2146470719773766,-0.13164914424514948
-0.20000000000000148,-0.09817627457812253
-0.08685700989536464,2.3491484704208677E-16
-0.10940291301259912,0.06892931050853388
-0.2347246261560896,0.14866321771625648
-0.19276180707668616,0.11688491095908186
-0.15540101505743506,0.10499021437879756
-0.10534483924623485,-0.058223895086737025
-0.3948735885774692,-0.06954520567271989
-0.3043036995985884,-0.11058898418061103
-0.1999999999999991,0.1356762745781209
-0.2999999999999988,0.13567627457812118
-0.39059708698740214,-0.06892931050853429
-0.39293864233586917,-0.029424765917930164
-0.20587623787954834,0.13940588621086364
-0.4000000000000038,0.05182372542187934
-0.3630898365150553,0.07192468666101318
-0.3942178111313002,0.01688965650056139
-0.34913913043951217,-0.07309363652845191
-0.34913913043951067,-0.07309363652845197
-0.29279653380993265,0.12276720927966842
-0.29279653380993265,0.12276720927966762
-0.40000000000000235,-3.717293821578347E-16
-0.33648697639584374,-0.08255826901532154
-0.33648697639584524,-0.08255826901532122
-0.40000000000000013,-5.551115123125783E-17
-0.40000000000000197,1.294103713078698E-15
-0.2098963350255054,-0.1618692152480217
-0.10512641142252784,0.06954520567271937
-0.11557704657165442,0.07377426910697595
-0.1190073445481201,0.062057225367136544
-0.21464707197737615,0.13164914424515076
-0.08685700989536439,-1.6639230350569353E-16
-0.10940291301260045,0.06892931050853394
-0.19861573312509057,0.1156608628899085
-0.2773131765188681,-0.10447794481851523
-0.3445989849425648,-0.10499021437879862
-0.39147519447635604,0.06326316625439594
-0.39465516075376705,0.058223895086737434
-0.36833699465080566,-0.0608878961930283
-0.33648697639584,0.08255826901532089
-0.36646151150436085,-0.047535051213781106
-0.3724174665745951,-0.07407962401054266
-0.3853656989164627,-0.02406271638585883
-0.3491391304395134,0.07309363652845348
-0.3491391304395084,0.07309363652845113
-0.39502122458842504,0.0004040657229814162
-0.30517797172812416,-0.10930908161648853
-0.3051779717281268,-0.10930908161648895
-0.3953818869118384,6.071227728298229E-16
-0.35967603818286964,-0.05535083795761534
-0.35967603818286875,-0.055350837957616805
-0.3953818869118405,-5.457019989900284E-16
-0.3942178111312992,0.016889656500561036
-0.05973111317698501,8.815348602424736E-17
-0.12958664786421975,-0.1182505853991381
-0.0999999999999995,0.09817627457812113
-0.1999999999999985,0.13567627457812065
-0.10316452738045177,-0.021415000041707682
-0.26527537384391114,-0.14866321771625385
-0.11868529798709661,-0.055575056003451015
-0.13691016348494425,-0.07192468666101356
-0.11557704657165399,0.07377426910697475
-0.12758253342540765,0.07407962401054287
-0.3,0.12456139403487108
-0.11900734454812088,-0.06205722536713631
-0.10578218886870093,-0.01688965650056282
-0.30430369959858805,-0.11058898418061208
-0.3607762737757196,-0.026252501079275802
-0.11900734454811913,-0.0620572253671351
-0.3819656420875736,-0.002735005567604783
-0.33648697639584346,0.08255826901532315
-0.3853656989164595,-0.02406271638585775
-0.29442936782730583,0.11842084570004427
-0.1065673978113759,-0.030936588501040994
-0.29442936782730955,0.1184208457000442
-0.3664615115043623,0.04753505121377999
-0.38536569891645933,0.0240627163858596
-0.4000000000000022,0.01432372542188008
-0.3596760381828722,0.055350837957616215
-0.3596760381828653,0.05535083795761663
-0.39502122458842664,0.0004040657229839539
-0.10656739781137495,-0.030936588501040897
-0.38989118142649204,4.204695716941497E-16
-0.36646151150435663,0.047535051213781924
-0.3043036995985884,0.11058898418061223
-0.30517797172812244,0.10930908161648696
-0.3898911814264911,-2.333465616255094E-16
-0.38371019298908,0.01826117674987936
-0.3043036995985866,0.11058898418061051
-0.3051779717281247,0.10930908161648847
-0.38536569891646516,0.024062716385858742
-0.38371019298907705,0.018261176749881165
-0.2347246261560879,-0.14866321771625504
