t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840013
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822916
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805866
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.788877
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771961
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755134
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738407
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721796
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.705314
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688974
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.672789
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656771
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640932
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.625284
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.609838
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.594604
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579591
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.564809
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550265
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.535967
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.521921
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508134
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.494611
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481355
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.468370
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.455660
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.443226
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431070
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.419192
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407593
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.396272
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385227
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374458
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363962
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353736
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343777
