N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,chain,1.878584,1.885701,0.007117,0.007117,9.117228047e-02,0.084795949,139.0752,1.076047339
4,chain,1.878584,1.88657,0.007986,0.007986,9.666263735e-02,0.089899495,123.733,1.075565628
4,chain,1.878584,1.887545,0.008962,0.008962,1.024655928e-01,0.095293071,110.1228,1.075025618
4,chain,1.878584,1.88864,0.010056,0.010056,1.085988916e-01,0.100993036,98.0431,1.074420325
4,chain,1.878584,1.889868,0.011284,0.011284,1.150810852e-01,0.107016474,87.317,1.07374195
4,chain,1.878584,1.891247,0.012663,0.012663,1.219315416e-01,0.113381196,77.789,1.072981782
4,chain,1.878584,1.892793,0.014209,0.014209,1.291704479e-01,0.120105735,69.3222,1.072130105
4,chain,1.878584,1.894529,0.015945,0.015945,1.368188052e-01,0.127209336,61.7962,1.071176084
4,chain,1.878584,1.896476,0.017892,0.017892,1.448984126e-01,0.134711932,55.1046,1.070107649
4,chain,1.878584,1.898661,0.020078,0.020078,1.534318389e-01,0.142634105,49.1534,1.068911364
4,chain,1.878584,1.901114,0.02253,0.02253,1.6244238e-01,0.150997038,43.8594,1.067572287
4,chain,1.878584,1.903865,0.025282,0.025282,1.71953998e-01,0.159822444,39.1493,1.066073822
4,chain,1.878584,1.906953,0.028369,0.028369,1.819912389e-01,0.169132469,34.958,1.064397559
4,chain,1.878584,1.910418,0.031834,0.031834,1.925791259e-01,0.178949577,31.2276,1.062523103
4,chain,1.878584,1.914306,0.035723,0.035723,2.03743023e-01,0.189296396,27.9071,1.060427899
4,chain,1.878584,1.91867,0.040086,0.040086,2.15508465e-01,0.200195534,24.9512,1.058087045
4,chain,1.878584,1.923566,0.044982,0.044982,2.279009474e-01,0.211669354,22.3195,1.055473109
4,chain,1.878584,1.92906,0.050476,0.050476,2.409456725e-01,0.223739693,19.9762,1.052555936
4,chain,1.878584,1.935225,0.056641,0.056641,2.546672426e-01,0.236427537,17.8897,1.04930247
4,chain,1.878584,1.942143,0.063559,0.063559,2.690892975e-01,0.249752627,16.0317,1.045676583
4,chain,1.878584,1.949905,0.071322,0.071322,2.842340861e-01,0.263733003,14.3771,1.041638918
4,chain,1.878584,1.958617,0.080033,0.080033,3.001219691e-01,0.278384463,12.9036,1.037146769
4,chain,1.878584,1.968392,0.089808,0.089808,3.167708447e-01,0.293719947,11.5913,1.032154
4,chain,1.878584,1.979361,0.100777,0.100777,3.341954939e-01,0.309748829,10.4227,1.026611018
4,chain,1.878584,1.991669,0.113085,0.113085,3.52406842e-01,0.326476113,9.382,1.020464819
4,chain,1.878584,2.005481,0.126898,0.126898,3.714111356e-01,0.343901534,8.4554,1.013659135
4,chain,1.878584,2.02098,0.142397,0.142397,3.912090394e-01,0.36201856,7.6302,1.006134688
4,chain,1.878584,2.038373,0.159789,0.159789,4.117946579e-01,0.380813306,6.8957,0.997829593
4,chain,1.878584,2.057889,0.179305,0.179305,4.331544982e-01,0.400263356,6.2418,0.988679926
4,chain,1.878584,2.079789,0.201205,0.201205,4.552663929e-01,0.420336528,5.6599,0.978620489
4,chain,1.878584,2.104364,0.22578,0.22578,4.780984115e-01,0.440989583,5.1421,0.967585798
4,chain,1.878584,2.13194,0.253356,0.253356,5.016078007e-01,0.462166936,4.6817,0.955511314
4,chain,1.878584,2.162885,0.284301,0.284301,5.257400006e-01,0.483799386,4.2724,0.942334937
4,chain,1.878584,2.197609,0.319025,0.319025,5.504277956e-01,0.505802936,3.9087,0.927998772
4,chain,1.878584,2.236574,0.35799,0.35799,5.755906685e-01,0.528077756,3.586,0.912451152
4,chain,1.878584,2.280298,0.401714,0.401714,6.011344317e-01,0.550507369,3.2997,0.895648901
4,chain,1.878584,2.329363,0.450779,0.450779,6.269512131e-01,0.572958135,3.0462,0.877559786
4,chain,1.878584,2.384421,0.505837,0.505837,6.529198718e-01,0.595279121,2.822,0.858165092
4,chain,1.878584,2.446203,0.567619,0.567619,6.789069073e-01,0.617302453,2.6242,0.837462201
4,chain,1.878584,2.515531,0.636947,0.636947,7.047679071e-01,0.638844251,2.4502,0.815467069
4,chain,1.878584,2.593326,0.714743,0.714743,7.303495492e-01,0.659706254,2.2977,0.792216419
4,chain,1.878584,2.680624,0.80204,0.80204,7.554921361e-01,0.679678273,2.1647,0.767769496
4,chain,1.878584,2.778584,0.9,0.9,7.80032592e-01,0.698541681,2.0493,0.74220918
4,ring,1.878584,1.874584,0.004,-0.004,5.440333802e-18,0.763497243,1.7155,0.895235411
4,ring,1.878584,1.874095,0.004489,-0.004489,4.518237108e-17,0.76533712,1.7072,0.895370881
