N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
3,ring,7.444602,0,1,1,UnfreezingSeEp,0,1e+00,1,0.268651036,0.94992045
3,ring,8.416932,0,1,1,UnfreezingSeEp,0,1e+00,1,0.237616273,0.996869006
3,ring,9.516257,0,1,1,UnfreezingSeEp,0,1e+00,1,0.210166668,0.844824983
3,ring,10.759163,0,1,1,UnfreezingSeEp,0,1e+00,1,0.185888062,0.966023782
3,ring,12.164404,0,1,1,UnfreezingSeEp,0,1e+00,1,0.164414138,0.849598633
3,ring,13.753182,0,1,1,UnfreezingSeEp,0,1e+00,1,0.145420898,0.963712074
3,ring,15.549467,0,1,1,UnfreezingSeEp,0,1e+00,1,0.12862177,0.842085402
3,ring,17.580364,0,1,1,UnfreezingSeEp,0,1e+00,1,0.11376329,0.978914228
3,ring,19.876513,0,1,1,UnfreezingSeEp,0,1e+00,1,0.100621272,0.935035155
3,ring,22.472559,0,1,1,UnfreezingSeEp,0,1e+00,1,0.088997429,0.998306369
3,ring,25.407672,0,1,1,UnfreezingSeEp,0,1e+00,1,0.078716382,0.948529119
3,ring,28.726136,0,1,1,UnfreezingSeEp,0,2e+00,1,0.069623008,1
3,ring,32.478021,0,1,1,UnfreezingSeEp,0,1e+00,1,0.061580108,0.953344348
3,ring,36.719934,0,1,1,UnfreezingSeEp,0,2e+00,1,0.054466329,1
3,ring,41.515878,0,1,1,UnfreezingSeEp,0,2e+00,1,0.048174339,1
3,ring,46.938215,0,1,1,UnfreezingSeEp,0,2e+00,1,0.042609204,1
3,ring,53.068756,0,1,1,UnfreezingSeEp,0,1e+00,1,0.037686958,0.873691319
3,ring,60,0,1,1,UnfreezingSeEp,0,1e+00,1,0.033333333,0.850793879
3,star,0.5,1,1,0,FrozenCommutant,1,2.710399722e-16,0.064585653,0.258342613,0.935414347
3,star,0.565304,1,1,0,FrozenCommutant,1,5.015034402e-17,0.083367313,0.29494664,0.916632687
3,star,0.639138,1,1,0,FrozenCommutant,1,3.871383001e-17,0.107951085,0.337802083,0.892048915
3,star,0.722615,2,2,0,FrozenCommutant,1,1.249000903e-16,0.140399093,0.388586111,0.859600907
3,star,0.816995,1,1,0,FrozenCommutant,1,5.892123714e-17,0.183752709,0.449825823,0.816247291
3,star,0.923702,2,2,0,FrozenCommutant,1,8.881784197e-16,0.242776345,0.525659674,0.757223655
3,star,1.044345,1,1,0,FrozenCommutant,1,7.162882196e-16,0.325706567,0.623752743,0.674293433
3,star,1.180746,2,2,0,FrozenCommutant,1,6.106226636e-16,0.449618526,0.761584,0.550381474
3,star,1.334961,2,2,0,FrozenCommutant,1,8.005342661e-16,0.66994095,1.003685844,0.33005905
3,star,1.509319,1,1,0,FrozenCommutant,0,4.94072587e-01,1,1.325100856,0.349362077
