label,site,alpha,beta,rmse,boundary
0.5,0,1.014629374070203,-4.008593541933772,0.007422127654771189,0
0.5,1,2.299727994499758,-10.0,0.007220630860200135,1
0.5,2,2.675853261552819,-0.25631178626183077,0.00508505931608787,0
0.5,3,1.297140665700122,-0.08558631113647214,0.005308776596328855,0
0.5,4,0.79042586533546,-0.2645425992184596,0.005041344429191063,0
0.5,5,1.2376046021327214,9.77243595290736e-07,0.006704303181214967,0
0.5,6,1.346146149987196,0.17536261895708447,0.011075140436766967,0
0.9,0,0.9539189675748071,-0.4327323080596211,0.0028011398907097623,0
0.9,1,0.9746948903919934,-0.0726341753806199,0.0023241463078270135,0
0.9,2,1.2166598946927414,0.12309115197695136,0.0014023999451739017,0
0.9,3,1.0064078138081922,0.028103770382923884,0.0005911672698328401,0
0.9,4,0.9020488506753028,0.03841403972816094,0.0017639023496629953,0
0.9,5,1.013299848595956,0.040419888604821964,0.0022233888551894815,0
0.9,6,1.0386331882948463,0.06806342359011369,0.0026804096635821553,0
1.1,0,1.0484984379019766,0.262098819329606,0.002798075619183339,0
1.1,1,0.9845612776195624,0.07664427677736022,0.0025416077074466247,0
1.1,2,0.8939276001291884,-0.3214049168711861,0.0018895694272710456,0
1.1,3,1.0127712307599102,-0.01493898593513984,0.0008874356815333845,0
1.1,4,1.1943734851277508,-0.26037996148563824,0.0017618485708197217,0
1.1,5,0.9996642751861454,-0.07516105363199589,0.002600832953818072,0
1.1,6,0.9706653950093485,-0.06895142224950032,0.002524476983604469,0
1.5,0,0.6615044792598291,2.6791097324789432,0.011637896633013387,0
1.5,1,0.41805126176183266,0.05858045715490249,0.010876538747284883,0
1.5,2,0.9009400127855501,-1.6990655585154482,0.005314457007953925,0
1.5,3,2.0902557368144263,-1.6721158312643412,0.009073773649864737,0
1.5,4,4.104579597344106,-6.968285422954113,0.005419942397058036,0
1.5,5,0.8893860209889403,-0.30217815673635295,0.011747326795791038,0
1.5,6,0.8885814648339662,-0.2654061061386553,0.010127601849500316,0
