label,site,alpha,rmse,boundary
0.5,0,1.0515878718793974,0.007934800311058464,0
0.5,1,1.6606581690330977,0.007350430330788165,0
0.5,2,2.139313676670457,0.0047674687359065965,0
0.5,3,2.935936912621102,0.006885898824019214,0
0.5,4,0.760554875616003,0.005908470716651533,0
0.5,5,0.7737589589767184,0.006371554695157462,0
0.5,6,0.6285845005531253,0.007998115573564316,0
2,0,0.8851355231516187,0.007081676770751641,0
2,1,0.8115770284689344,0.00618837952983175,0
2,2,0.5221340495958393,0.00883886334963237,0
2,3,0.10000044152960563,0.016922300893316165,1
2,4,0.5283976902939244,0.015078624834826332,0
2,5,3.3979265134486116,0.015232135357187059,0
2,6,3.5375565945619223,0.008362853879372875,0
