label,site,alpha,rmse,boundary
0.9,0,2.645097068962208,0.003297705730881419,0
0.9,1,1.0022397750449,0.00137227375847021,0
0.9,2,0.798822353118276,0.002579981174806255,0
0.9,3,0.9925086526358412,0.0008736605421971541,0
0.9,4,0.7793137238145306,0.00223922621128348,0
0.9,5,0.9836500244853182,0.0012342209804579697,0
0.9,6,0.8127642555966722,0.0032039148893009822,0
1,0,1.0000000569578649,8.976939293567627e-10,0
1,1,0.9999999962127836,1.4220566853175577e-10,0
1,2,1.0000001039963256,1.4831484949246627e-09,0
1,3,0.9999999954517339,1.7638426705531197e-10,0
1,4,1.0000001039963253,1.4831484955934676e-09,0
1,5,0.9999999962127833,1.4220566143848717e-10,0
1,6,1.0000000569578653,8.976939449677719e-10,0
1.1,0,0.6175480678393283,0.004237431718687699,0
1.1,1,0.9968774470812943,0.0012459639013660557,0
1.1,2,1.113325486001141,0.0023904069991716637,0
1.1,3,1.0088751803712563,0.0008685235256639044,0
1.1,4,1.2810694542406864,0.0018053936481442741,0
1.1,5,1.0109352920610502,0.0011687158842376981,0
1.1,6,1.1035818388701184,0.0029414244031648502,0
