label,site,alpha,beta,rmse,boundary
0.5,0,0.8075462420790844,-1.1623162840161412,0.0052867123059186704,0
0.5,1,0.998684163239861,-1.4558079970602937,0.005181819025962594,0
0.5,2,0.7010880354829618,0.2545546752864669,0.005786824122821028,0
0.5,3,7.6746313245117275,-3.9914986221646838,0.006685300065236124,0
0.5,4,2.511888317993834,-0.792585459885577,0.004579527762481145,0
0.5,5,2.968495548421924,-3.9394738466611567,0.005608487693469512,0
0.5,6,1.058674423327802,-0.028778300617489806,0.007933377248812669,0
0.8,0,0.9469660973232956,-0.47496944480543585,0.0018001027730679014,0
0.8,1,0.902022238831986,-0.41909661510543594,0.0031091296441925756,0
0.8,2,0.8593221225523092,0.11071091475390732,0.002925122591576852,0
0.8,3,0.9850353744763649,-8.202720424286322e-07,0.0027614323038100694,0
0.8,4,1.692396184491556,-0.4149029604475287,0.0025458804241462185,0
0.8,5,1.407584205835752,-0.6318175106188982,0.003645160063162088,0
0.8,6,0.9837586909320241,0.05470319253737249,0.0027983398129847823,0
1.2,0,1.2089092495398888,0.178952883856242,0.003359394439321351,0
1.2,1,1.893088927313078,-1.032064755693719,0.003471243946296591,0
1.2,2,1.1428654331977832,-0.3138965154125416,0.00310559109789681,0
1.2,3,0.9503103380402124,-2.973675179793883e-07,0.004352894930842805,0
1.2,4,0.60549829942423,0.12561064753578627,0.004379395545059198,0
1.2,5,0.8291056999808298,0.10330730043850044,0.004429596753836094,0
1.2,6,0.9810756138129475,0.025115902291672283,0.0020598479933295207,0
1.5,0,2.782314028106143,-1.1573107544736587,0.006622573155066674,0
1.5,1,4.967091871843314,-5.39283283304275,0.012053721252391594,0
1.5,2,1.5170357212189993,-3.165678270767107,0.003430271305608957,0
1.5,3,1.0121276957121788,-5.583479738377828,0.006066553675238936,0
1.5,4,0.4277273740607165,0.041281704806223216,0.010023974935789279,0
1.5,5,0.673912760537899,0.19703731289581303,0.0079239847351672,0
1.5,6,0.8383289642138193,0.34279119283501597,0.0035655335467336684,0
2.0,0,4.50847178338584,-1.568474393345645,0.007727934480010008,0
2.0,1,6.338482313706898,-5.828437817594087,0.013753474040919027,0
2.0,2,1.2941264920944466,-6.312126199602161,0.0071344889925221274,0
2.0,3,0.18499284721349496,-0.9249642390635332,0.01407759410515492,0
2.0,4,0.5022888209485017,0.19513011360207394,0.008790860428082317,0
2.0,5,0.6794870518719373,0.9242715688215087,0.004900412221889046,0
2.0,6,0.7497267993107326,0.6174917767070965,0.005746777328106544,0
