label,site,alpha,rmse,boundary
0.5,0,0.6803086680766087,0.010847584079812797,0
0.5,1,0.3810581610661811,0.014452176013925259,0
0.5,2,0.5953352212330554,0.009199923560102158,0
0.5,3,0.8004803238751846,0.0069821742596052234,0
0.5,4,3.5434968627361996,0.0111045994229625,0
0.5,5,2.5788110104292854,0.011861631522238006,0
0.5,6,1.4357932161380476,0.01079456755601747,0
2,0,0.9722267153333203,0.006528192301880292,0
2,1,6.676397353898607,0.021190807205494468,0
2,2,4.709613000108068,0.022853100147165382,0
2,3,0.10000044152960563,0.017211405031772414,1
2,4,0.24942943781529417,0.017275365767529877,0
2,5,0.5088807442895622,0.002963349966783122,0
2,6,0.725364202191288,0.00797962583006019,0
