label,site,alpha,rmse,boundary
0.5,0,0.5045152447615475,0.015086853640562508,0
0.5,1,0.769627439759196,0.010305059142182188,0
0.5,2,2.54453345765687,0.0051133454271682895,0
0.5,3,1.2721760069680772,0.0053264514189420775,0
0.5,4,0.7514624510888646,0.005135158964382547,0
0.5,5,1.2376046388324633,0.00670430325243831,0
0.5,6,1.3979250968511148,0.011090059271148858,0
0.9,0,0.8767383990758669,0.0031771200752311137,0
0.9,1,0.9598660325284638,0.002338550044912632,0
0.9,2,1.2492378651049045,0.0014575887903314631,0
0.9,3,1.0119701279840245,0.0006171854893912781,0
0.9,4,0.9091548672560601,0.0017700015382847004,0
0.9,5,1.0227514622280796,0.0022289790822785484,0
0.9,6,1.0530889308554925,0.002695464682448728,0
1.1,0,1.1082257303251761,0.003015448857431276,0
1.1,1,1.0007114266068924,0.002558747066650905,0
1.1,2,0.8392117393188517,0.002219081765130736,0
1.1,3,1.0098843591104174,0.0008924249108633083,0
1.1,4,1.1301589831217722,0.0019084137079956249,0
1.1,5,0.9844733545147836,0.002614343298401422,0
1.1,6,0.9574379238451056,0.0025413903974406864,0
1.5,0,1.0316865351234918,0.013232912636924858,0
1.5,1,0.42326681171122515,0.010882560845165788,0
1.5,2,0.6341006543928971,0.00829605043080772,0
1.5,3,1.5189518154285053,0.010490362953274554,0
1.5,4,1.8698300094976243,0.008575377879999782,0
1.5,5,0.8399521629340069,0.011788768267646436,0
1.5,6,0.8432625453817307,0.010189551208388546,0
