label,site,alpha,beta,rmse,boundary
0.3,0,0.4301925479294709,-0.6829779215862414,0.003817932692699046,0
0.3,1,1.2005431315320851,-2.0499361562165888,0.006013072986412613,0
0.3,2,0.7726982382997267,0.19311586486853274,0.007121432809195642,0
0.3,3,5.03501664211505,-0.9516632626791653,0.00804695120817257,0
0.3,4,3.093929604509271,-1.1051408309613022,0.006452502879058381,0
0.3,5,3.9926451124697317,-6.17738797707625,0.0064364593016859335,0
0.3,6,1.4414821229686807,-0.6828818709701786,0.00811842728651776,0
0.5,0,0.8075462420790844,-1.1623162840161412,0.0052867123059186704,0
0.5,1,0.998684163239861,-1.4558079970602937,0.005181819025962594,0
0.5,2,0.7010880354829618,0.2545546752864669,0.005786824122821028,0
0.5,3,7.6746313245117275,-3.9914986221646838,0.006685300065236124,0
0.5,4,2.511888317993834,-0.792585459885577,0.004579527762481145,0
0.5,5,2.968495548421924,-3.9394738466611567,0.005608487693469512,0
0.5,6,1.058674423327802,-0.028778300617489806,0.007933377248812669,0
0.7,0,0.9180733526622233,-0.7174931472713904,0.0027007325907576216,0
0.7,1,0.9186945071774296,-0.7829745608833611,0.004075615060201385,0
0.7,2,0.7995586126486579,0.15509243530967695,0.004149090670915156,0
0.7,3,1.0011234497895294,-0.062459986472368265,0.004032619692412443,0
0.7,4,1.9284786267230802,-0.48849778128806226,0.0030222861037198165,0
0.7,5,1.7382222240773504,-1.2317252563749252,0.004584906477671207,0
0.7,6,0.9831580611875063,0.06619973797404806,0.004558524672543985,0
0.9,0,0.9701206849363475,-0.22686331271452864,0.001029053598438524,0
0.9,1,0.9204688024530928,-0.14179192645871766,0.0017389348950361304,0
0.9,2,0.9267890354434613,0.06305345826579167,0.001542832467855304,0
0.9,3,0.9919299802137489,2.0217236494949817e-08,0.0014801144700439272,0
0.9,4,1.2480906501708156,-0.1450885069389435,0.0020099484308219976,0
0.9,5,1.1176447186589602,-0.12499369491336458,0.0021006216960389296,0
0.9,6,0.9928330155628468,0.025686085836676743,0.0012905069390151268,0
1,0,0.9999999987299519,0.0,4.297018321587813e-11,0
1,1,0.9999999986895679,0.0,2.8396009346116906e-11,0
1,2,0.9999999982998343,0.0,2.5867603856780753e-11,0
1,3,0.9999999977739729,0.0,3.651806134849056e-11,0
1,4,0.9999999982998352,0.0,2.5867596309236743e-11,0
1,5,0.9999999986895671,0.0,2.8396035500725534e-11,0
1,6,0.9999999987299518,0.0,4.2970169543299175e-11,0
1.1,0,1.0555592966352336,0.17223844945691383,0.0015087690040300927,0
1.1,1,1.202225042177049,-0.07711318140819554,0.00205693928645008,0
1.1,2,1.071064789695189,-0.10341648118193023,0.0016251228465952762,0
1.1,3,0.9912423885929147,-3.243061726690378e-07,0.0018866062579411583,0
1.1,4,0.824547641258932,0.08970853094623407,0.002455877796321861,0
1.1,5,0.9132516587798037,0.05670128578353391,0.002267955557444049,0
1.1,6,0.9969600128463347,-3.19122098097781e-07,0.0011155722791405117,0
1.3,0,1.517657114783557,-7.920340815495419e-07,0.004703139965523365,0
1.3,1,3.0073558555700672,-2.7492299417669175,0.00519977470228481,0
1.3,2,1.1893464395678612,-0.6448875087531986,0.004134798482287734,0
1.3,3,0.506178203795463,0.09172984339182685,0.006448683811828604,0
1.3,4,0.5007885368292117,0.08103460896231426,0.006104928955769268,0
1.3,5,0.7508805226221992,0.14223993484022976,0.006215311676905595,0
1.3,6,0.9435385536473627,0.10557722589399218,0.0028008611948876594,0
1.5,0,2.782314028106143,-1.1573107544736587,0.006622573155066674,0
1.5,1,4.967091871843314,-5.39283283304275,0.012053721252391594,0
1.5,2,1.5170357212189993,-3.165678270767107,0.003430271305608957,0
1.5,3,1.0121276957121788,-5.583479738377828,0.006066553675238936,0
1.5,4,0.4277273740607165,0.041281704806223216,0.010023974935789279,0
1.5,5,0.673912760537899,0.19703731289581303,0.0079239847351672,0
1.5,6,0.8383289642138193,0.34279119283501597,0.0035655335467336684,0
1.7,0,3.854101602573261,-1.7987012543293444,0.008395326766196663,0
1.7,1,6.186415121120449,-6.6147890456337795,0.015823252192764387,0
1.7,2,1.225555094102158,-4.305676787419658,0.0042933976854316516,0
1.7,3,1.30032184774573,-10.0,0.007988748604381396,1
1.7,4,0.4354045277601361,0.02868893813840298,0.01099292710876174,0
1.7,5,0.6574587957786914,0.43903334940677274,0.007124446556346457,0
1.7,6,0.7705547914472889,0.5111147963369315,0.00424413995653622,0
2,0,4.50847178338584,-1.568474393345645,0.007727934480010008,0
2,1,6.338482313706898,-5.828437817594087,0.013753474040919027,0
2,2,1.2941264920944466,-6.312126199602161,0.0071344889925221274,0
2,3,0.18499284721349496,-0.9249642390635332,0.01407759410515492,0
2,4,0.5022888209485017,0.19513011360207394,0.008790860428082317,0
2,5,0.6794870518719373,0.9242715688215087,0.004900412221889046,0
2,6,0.7497267993107326,0.6174917767070965,0.005746777328106544,0
2.5,0,2.7178221662781263,0.5550254430198461,0.007644203480828228,0
2.5,1,3.0859562585662594,-1.430136942487408,0.006688345007929163,0
2.5,2,0.7435985898088727,-3.583978937479873,0.012962399371024847,0
2.5,3,0.16858516413821345,-0.6069038611828135,0.012816603920794728,0
2.5,4,0.8142010414034921,0.2451962833504585,0.0058094793771038405,0
2.5,5,0.8269968672097094,1.0886502298720089,0.007757581316116751,0
2.5,6,0.9003236341516488,0.41354061612352616,0.007164855270159267,0
3,0,1.3481736248027842,1.4368462821917385,0.006940953760460661,0
3,1,1.1888771533453495,0.5622171001022619,0.004943933375244399,0
3,2,0.7795436638650619,-4.053627052143828,0.01327083155001567,0
3,3,1.9907396552917305,-10.0,0.007423184421766832,1
3,4,1.142071740118544,-8.630699914512555e-07,0.004403970508473382,0
3,5,2.121745028655159,-0.7648568843833488,0.008101928006355511,0
3,6,1.0935670639182387,0.0897520767711639,0.008010301104893579,0
