label,site,alpha,rmse,boundary
0.5,0,0.6285845005526488,0.00799811557356434,0
0.5,1,0.7737589589768764,0.006371554695157446,0
0.5,2,0.760554875597399,0.0059084707166515565,0
0.5,3,2.9359363224860853,0.006885898824019213,0
0.5,4,2.139313671101755,0.0047674687359066095,0
0.5,5,1.6606581690165754,0.007350430330788151,0
0.5,6,1.0515878718779346,0.007934800311058447,0
0.8,0,0.8590161239627168,0.0031168433211575418,0
0.8,1,0.8349936057066328,0.003402658493084897,0
0.8,2,0.8818583111910673,0.002966975421373273,0
0.8,3,0.9850353753549641,0.0027614324256343584,0
0.8,4,1.5260121712514834,0.0026616667221544413,0
0.8,5,1.2201423007821262,0.00392345635010047,0
0.8,6,0.9955554376433928,0.0028143295616759297,0
1.2,0,1.2655082451484772,0.0034537776406305264,0
1.2,1,1.5482026376041937,0.004118287006909865,0
1.2,2,1.0802843025506865,0.0032133475593988502,0
1.2,3,0.9503103840772202,0.004352894940999414,0
1.2,4,0.6244316526184156,0.004421193761484701,0
1.2,5,0.8462078416106953,0.004448288184605194,0
1.2,6,0.9863464297011548,0.002064487550486926,0
1.5,0,2.2699522775964813,0.007276639073116091,0
1.5,1,2.78567343228077,0.013604427669413712,0
1.5,2,0.934285181208668,0.005801452514705925,0
1.5,3,0.4437886148097345,0.011202015027944946,0
1.5,4,0.4318350450544414,0.010026433032128657,0
1.5,5,0.6969234979010778,0.007969232189586574,0
1.5,6,0.9098742275655758,0.004142895942534784,0
2.0,0,3.537556594323018,0.008362853879372831,0
2.0,1,3.3979265130939003,0.015232135357186996,0
2.0,2,0.5283976903047961,0.015078624834826323,0
2.0,3,0.10000044152960563,0.01692230089331617,1
2.0,4,0.5221340496036412,0.008838863349632348,0
2.0,5,0.8115770284681749,0.006188379529831813,0
2.0,6,0.8851355231621445,0.007081676770751725,0
