label,site,alpha,rmse,boundary
0.5,0,0.8498049975415521,0.01884524596028764,0
0.5,1,2.106875051438192,0.023409477157236458,0
0.5,2,4.075389884035814,0.02985233059643915,0
0.5,3,8.034016390126242,0.03798686235182595,0
0.5,4,4.046488198318227,0.033682592190125524,0
0.5,5,2.255594134581125,0.0241203063674285,0
0.5,6,3.242139461352685,0.035946392931816784,0
1.5,0,3.6610053188717053,0.03456554108971926,0
1.5,1,2.6631908769631076,0.029243886012291605,0
1.5,2,3.9360531604975226,0.035435993654164284,0
1.5,3,7.9861658940173355,0.032770835814139816,0
1.5,4,0.955886477713681,0.014542128334417133,0
1.5,5,2.302356143685212,0.025762467630498182,0
1.5,6,3.2326152117901685,0.03053180340768277,0
2,0,1.220322335461936,0.022502572371400607,0
2,1,1.2365942351746462,0.030858788807318255,0
2,2,3.8187720994399017,0.03418296180306095,0
2,3,7.9476778903456236,0.035509752793906287,0
2,4,4.058828782244254,0.026742211590914767,0
2,5,2.397402647690374,0.03123492489376046,0
2,6,3.3503116435112545,0.033308740316322846,0
