label,site,alpha,beta,rmse,boundary
0.9,0,1.1543100805780466,8.787551358102738e-07,0.0019475764018079206,0
0.9,1,1.1693191859725827,0.07340498214183908,0.0025699991388393765,0
0.9,2,0.9792943487064918,-0.22358705316791858,0.001056483656732092,0
0.9,3,0.9464304996272281,-0.12170570982925845,0.0014472748516372665,0
0.9,4,1.0249118937173327,0.028824843753479195,0.0014859586714040735,0
0.9,5,0.9148147176872375,-0.0569991307502895,0.0022555108853950217,0
0.9,6,0.9689951259774948,-0.05010370733490945,0.0014170935436580675,0
1,0,0.9999999973855247,0.0,4.29077362102181e-11,0
1,1,0.9999999981044374,0.0,4.0317076724051936e-11,0
1,2,0.9999999986809207,0.0,4.227260296830346e-11,0
1,3,1.0000000100252897,0.0,1.726381865785917e-10,0
1,4,0.9999999986809206,0.0,4.2272613784838177e-11,0
1,5,0.9999999981044366,0.0,4.0317097533892056e-11,0
1,6,0.9999999973855253,0.0,4.290773462038048e-11,0
1.1,0,0.9144524999311835,-0.14416539124214317,0.0024449561166827566,0
1.1,1,0.9168750672269658,-0.2447380455534178,0.0026341171330697874,0
1.1,2,1.036184682684409,0.206844619329428,0.0016781066833019926,0
1.1,3,1.0374154081233555,0.09952325029076468,0.0014283928827599772,0
1.1,4,0.9864169633172404,-0.03325512540551535,0.001180908496435087,0
1.1,5,1.11587106168101,1.8969167328488495e-07,0.0023132962500242945,0
1.1,6,1.0380075676079654,5.454909968009587e-07,0.0016025511674161912,0
