label,site,alpha,rmse,boundary
0.3,0,0.357475704801134,0.005687555275209157,0
0.3,1,0.8756619822720519,0.007927932771217441,0
0.3,2,0.9011668218731074,0.007175088315385009,0
0.3,3,3.640726147542533,0.008154324134153464,0
0.3,4,2.465463310087714,0.006674041250308447,0
0.3,5,1.910246714452251,0.00893536063108568,0
0.3,6,1.2578791225596693,0.008552362481758696,0
0.5,0,0.6285845005526488,0.00799811557356434,0
0.5,1,0.7737589589768764,0.006371554695157446,0
0.5,2,0.760554875597399,0.0059084707166515565,0
0.5,3,2.9359363224860853,0.006885898824019213,0
0.5,4,2.139313671101755,0.0047674687359066095,0
0.5,5,1.6606581690165754,0.007350430330788151,0
0.5,6,1.0515878718779346,0.007934800311058447,0
0.7,0,0.7962507855083304,0.004734490851178496,0
0.7,1,0.7989249408883345,0.004683896332219757,0
0.7,2,0.8350658527868444,0.004208232423902025,0
0.7,3,1.7612686112047888,0.005531660616316552,0
0.7,4,1.7705223159332475,0.0031560641402643046,0
0.7,5,1.3815098386190214,0.005259874737535786,0
0.7,6,0.9986943180360687,0.004572020792834098,0
0.9,0,0.9259796549931318,0.0016044574883687043,0
0.9,1,0.8958362376086838,0.0018171222324477106,0
0.9,2,0.9390763132521606,0.0015668096452339185,0
0.9,3,0.9919301051033346,0.0014801144701837433,0
0.9,4,1.186282217891685,0.002055910401780905,0
0.9,5,1.088555230479204,0.0021392412380770234,0
0.9,6,0.9981240512648656,0.0012983185485407147,0
1,0,0.9999999972446667,9.322257894196015e-11,0
1,1,0.9999999965698899,7.432773814908628e-11,0
1,2,1.000000040225496,6.120214761415031e-10,0
1,3,1.000000033742588,5.535482026286448e-10,0
1,4,1.0000000402254972,6.120214774803379e-10,0
1,5,0.9999999965698904,7.432772114300746e-11,0
1,6,0.9999999972446664,9.322258530714077e-11,0
1.1,0,1.095270857246081,0.0017707378857334459,0
1.1,1,1.182021569085936,0.0020698642552113974,0
1.1,2,1.0507323381562632,0.0016641928227425337,0
1.1,3,0.9912424364381656,0.0018866062858148695,0
1.1,4,0.8453186817534908,0.002484839877329528,0
1.1,5,0.9234754027208266,0.0022782424802799375,0
1.1,6,0.9969600707632464,0.001115572324786473,0
1.3,0,1.5176570917936016,0.004703140032212154,0
1.3,1,2.0064552950482146,0.006739237719902852,0
1.3,2,1.0736690261424588,0.004401356801243879,0
1.3,3,0.5115166066776784,0.006464299355248548,0
1.3,4,0.5104548566129552,0.0061198254488839515,0
1.3,5,0.7718146276191578,0.006242442852160206,0
1.3,6,0.9667216311427377,0.0028603675601927363,0
1.5,0,2.2699522775964813,0.007276639073116091,0
1.5,1,2.78567343228077,0.013604427669413712,0
1.5,2,0.934285181208668,0.005801452514705925,0
1.5,3,0.4437886148097345,0.011202015027944946,0
1.5,4,0.4318350450544414,0.010026433032128657,0
1.5,5,0.6969234979010778,0.007969232189586574,0
1.5,6,0.9098742275655758,0.004142895942534784,0
1.7,0,2.98214251029934,0.009284919693663844,0
1.7,1,3.241201324721115,0.01724374465343412,0
1.7,2,0.6546067848853384,0.008680346147434438,0
1.7,3,0.45261182305580405,0.017483563420190112,0
1.7,4,0.4380150874052726,0.010993957402559805,0
1.7,5,0.7089373488311612,0.007364318209620553,0
1.7,6,0.8727048764668699,0.005437134147311782,0
2,0,3.537556594323018,0.008362853879372831,0
2,1,3.3979265130939003,0.015232135357186996,0
2,2,0.5283976903047961,0.015078624834826323,0
2,3,0.10000044152960563,0.01692230089331617,1
2,4,0.5221340496036412,0.008838863349632348,0
2,5,0.8115770284681749,0.006188379529831813,0
2,6,0.8851355231621445,0.007081676770751725,0
2.5,0,3.099677834358717,0.007856619899668956,0
2.5,1,2.3511015716544716,0.00716825514032599,0
2.5,2,0.3329545407641757,0.02006210095742369,0
2.5,3,0.10257995969384588,0.014290993272216607,0
2.5,4,0.8619343161204203,0.005902636553859077,0
2.5,5,1.1896081494679718,0.008222818409254345,0
2.5,6,1.011013915790948,0.007532848489481826,0
3,0,2.062665860067963,0.010549347713426312,0
3,1,1.33925189820352,0.005221681351722927,0
3,2,0.3449198613920631,0.019776762771721794,0
3,3,0.7420134236618204,0.013441680454138807,0
3,4,1.1420716757584302,0.004403970593041504,0
3,5,1.8135292897011273,0.008245073322758013,0
3,6,1.114424311148992,0.008026427275999535,0
