label,site,alpha,rmse,boundary
0.9,0,0.9531290851659592,0.0055196789674016025,0
0.9,1,0.9514375155184646,0.0008260768936355024,0
0.9,2,1.0048991118252573,0.00046621501170301016,0
0.9,3,0.998793538674101,0.00026396543159092116,0
0.9,4,0.9994924720320527,0.0003442865985480873,0
0.9,5,0.9953568703170202,0.0008970422114886874,0
0.9,6,0.9698912393496253,0.002988457000717657,0
1,0,1.0000000676804592,1.0309427487052056e-08,0
1,1,0.999999992592618,4.678257742591123e-10,0
1,2,0.9999999977561361,1.3075674900470994e-10,0
1,3,0.999999997910028,1.2260102848113973e-10,0
1,4,0.9999999977561356,1.3075674873558065e-10,0
1,5,0.9999999925926187,4.678256962494328e-10,0
1,6,1.0000000676804592,1.0309427472377146e-08,0
1.1,0,1.0478095560286178,0.004922576058694874,0
1.1,1,1.0533688854790506,0.0008918640887013549,0
1.1,2,0.9948225378690453,0.00040456518200028676,0
1.1,3,1.0012112570674716,0.00020633844944044542,0
1.1,4,1.0004037683229838,0.0002900721116363654,0
1.1,5,1.0039892874110223,0.0008012820894366785,0
1.1,6,1.0290921323041786,0.002876822989272061,0
