"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","142.45892477025157","147.81712169461554","0.01513671875","0.029296875","0.0009765625","2280","0.00025432435213164735","32","0.00025432435213164735","0","0.00025432435213164735","0.00025432435213164735","1:0.0015593783290412666","1:68","1:0.0011063538402873718","0.01513671875","0.015380859375","Yes"
"1","253.11697303745044","400.12953862952264","0.1044921875","0.0732421875","0.1357421875","2280","0.0001829723187479684","32","0.0001829723187479684","0","0.0001829723187479684","0.0001829723187479684","2:0.000949596142742759;0:0.0015593783290412666","2:68;0:68","2:0.0012123279536870868;0:0.0011063538402873718","0.1044921875","0.11083984375","Yes"
"2","370.0571999945851","104.90757522823638","0.00634765625","0.0087890625","0.00390625","2280","0.00012598850574448985","32","0.00012598850574448985","0","0.00012598850574448985","0.00012598850574448985","1:0.000949596142742759;3:0.0013869841028765761","1:68;3:68","1:0.0012123279536870868;3:0.0013305043053034038","0.00634765625","0.009033203125","Yes"
"3","313.63215577112163","354.7318545627135","0.006591796875","0.0087890625","0.00439453125","2280","0.0003916409177165879","32","0.0003916409177165879","0","0.0003916409177165879","0.0003916409177165879","16:0.0011938789299090757;2:0.0013869841028765761;4:0.0018040551980960384","16:68;2:68;4:68","16:0.0016630606900590317;2:0.0013305043053034038;4:0.0017952059228383","0.006591796875","0.00439453125","Yes"
"4","266.6854334389047","49.725402874015195","0.015625","0.01416015625","0.01708984375","2280","0.0003006018934347934","32","0.0003006018934347934","0","0.0003006018934347934","0.0003006018934347934","3:0.0018040551980960384;5:0.002265139852066278","3:68;5:68","3:0.0017952059228383;5:0.00223713759041691","0.015625","0.0263671875","Yes"
"5","147.73031770400263","52.205271070736366","0.0048828125","0.00634765625","0.00341796875","2280","0.000495463659196039","32","0.000495463659196039","0","0.000495463659196039","0.000495463659196039","6:0.004245958874128597;4:0.002265139852066278","6:68;4:68","6:0.0029643253062528185;4:0.00223713759041691","0.0048828125","0.007568359375","Yes"
"6","262.47352046172","106.1410963930922","0.012451171875","0.01318359375","0.01171875","2280","0.00028060168932612185","32","0.00028060168932612185","0","0.00028060168932612185","0.00028060168932612185","5:0.004245958874128597;7:0.008077822212852193","5:68;7:80","5:0.0029643253062528185;7:0.006791873092566569","0.012451171875","0.0126953125","Yes"
"7","280.03144602200945","64.71833984996091","0.01806640625","0.01416015625","0.02197265625","2280","0.0002520505498742165","32","0.0002520505498742165","0","0.0002520505498742165","0.0002520505498742165","17:0.00682018490246547;6:0.008077822212852193;8:0.010158004621923844","17:68;6:80;8:68","17:0.005624737690752141;6:0.006791873092566569;8:0.004309126451543938","0.01806640625","0.046630859375","Yes"
"8","237.2603511721192","69.20060298817958","0.006591796875","0.01171875","0.00146484375","2280","0.0002759343425235558","32","0.0002759343425235558","0","0.0002759343425235558","0.0002759343425235558","9:0.0032838281574459616;7:0.010158004621923844","9:68;7:68","9:0.0018705225444065054;7:0.004309126451543938","0.006591796875","0.0048828125","Yes"
"9","122.67744294774204","37.007105262243535","0.00927734375","0.015625","0.0029296875","2280","0.00028196833903216287","32","0.00028196833903216287","0","0.00028196833903216287","0.00028196833903216287","8:0.0032838281574459616;10:0.009107563394461726","8:68;10:68","8:0.0018705225444065054;10:0.0028074450725877886","0.00927734375","0.00537109375","Yes"
"10","317.8808800664033","20.863130653864545","0.00244140625","0.00341796875","0.00146484375","2280","0.00024143017784933018","32","0.00024143017784933018","0","0.00024143017784933018","0.00024143017784933018","9:0.009107563394461726;11:0.001255800823182579","9:68;11:68","9:0.0028074450725877886;11:0.0014119075162801753","0.00244140625","0.003662109375","Yes"
"11","407.4237161489057","117.32974896768967","0.01220703125","0.00830078125","0.01611328125","2280","0.00022386204683877927","32","0.00022386204683877927","0","0.00022386204683877927","0.00022386204683877927","18:0.0014074265322685797;10:0.001255800823182579;12:0.000976232928938503","18:68;10:68;12:68","18:0.001737955570446842;10:0.0014119075162801753;12:0.0016187097160627606","0.01220703125","0.005615234375","Yes"
"12","324.2879735416047","257.5834899020323","0.031494140625","0.02685546875","0.0361328125","2280","0.00022076250320353288","32","0.00022076250320353288","0","0.00022076250320353288","0.00022076250320353288","13:0.00188979532003275;11:0.000976232928938503","13:68;11:68","13:0.001934215099497677;11:0.0016187097160627606","0.031494140625","0.03076171875","Yes"
"13","358.0383691150133","476.15604069530053","0.0048828125","0.0048828125","0.0048828125","2280","0.00023726478751278857","32","0.00023726478751278857","0","0.00023726478751278857","0.00023726478751278857","12:0.00188979532003275;14:0.0012940836823490676","12:68;14:68","12:0.001934215099497677;14:0.0011753050454750835","0.0048828125","0.005859375","Yes"
"14","292.00744883694034","399.79940690106065","0.0263671875","0.025390625","0.02734375","2280","0.00018740754135849384","32","0.00018740754135849384","0","0.00018740754135849384","0.00018740754135849384","15:0.002467543689685714;13:0.0012940836823490676","15:68;13:68","15:0.003186642711248827;13:0.0011753050454750835","0.0263671875","0.04150390625","Yes"
"15","183.47772901377718","98.40132564868101","0.0048828125","0.00634765625","0.00341796875","2280","0.00019580838748463583","32","0.00019580838748463583","0","0.00019580838748463583","0.00019580838748463583","14:0.002467543689685714;19:0.0026321939936150285","14:68;19:68","14:0.003186642711248827;19:0.0013514076861005364","0.0048828125","0.00537109375","Yes"
