"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","299.1059479311362","34.15438803714578","0.00537109375","0.0078125","0.0029296875","2584","0.0003880225391188153","36","0.0003880225391188153","0","0.0003880225391188153","0.0003880225391188153","1:0.0023616433721507513","1:68","1:0.0036327100615080876","0.00537109375","Yes"
"1","194.50337914693833","172.4705719401111","0.014404296875","0.023681640625","0.005126953125","2584","0.00017229176803207772","36","0.00017229176803207772","0","0.00017229176803207772","0.00017229176803207772","2:0.0010573154344130364;0:0.0023616433721507513","2:68;0:68","2:0.00358396946156192;0:0.0036327100615080876","0.014404296875","Yes"
"2","361.82621824984517","406.29005818092327","0.00390625","0.006591796875","0.001220703125","2584","0.0001888359519753617","36","0.0001888359519753617","0","0.0001888359519753617","0.0001888359519753617","1:0.0010573154344130364;3:0.0012766057342724069","1:68;3:68","1:0.00358396946156192;3:0.0021083557358507476","0.00390625","Yes"
"3","307.9657223515227","313.3112680951849","0.01123046875","0.011474609375","0.010986328125","2584","0.0002946880251661058","36","0.0002946880251661058","0","0.0002946880251661058","0.0002946880251661058","16:0.0020376911482546667;2:0.0012766057342724069;4:0.004620939828973353","16:68;2:68;4:80","16:0.002510361693412261;2:0.0021083557358507476;4:0.0020191094496383732","0.01123046875","Yes"
"4","206.11533139816476","183.97757419409666","0.004150390625","0.007080078125","0.001220703125","2584","0.00044215976480897106","36","0.00044215976480897106","0","0.00044215976480897106","0.00044215976480897106","3:0.004620939828973353;5:0.006327044538153748","3:80;5:68","3:0.0020191094496383732;5:0.0027301879862807743","0.004150390625","Yes"
"5","144.4772367227308","120.93844987371696","0.0037841796875","0.00244140625","0.005126953125","2584","0.00020024301924309536","36","0.00020024301924309536","0","0.00020024301924309536","0.00020024301924309536","6:0.002868675816030092;4:0.006327044538153748","6:68;4:68","6:0.0016426780312541744;4:0.0027301879862807743","0.0037841796875","Yes"
"6","351.23957257396256","151.41165930012951","0.003662109375","0.005615234375","0.001708984375","2584","0.00036851637514994967","36","0.00036851637514994967","0","0.00036851637514994967","0.00036851637514994967","5:0.002868675816030092;7:0.0015431725680902508","5:68;7:68","5:0.0016426780312541744;7:0.0017823874331460987","0.003662109375","Yes"
"7","325.21257961625076","107.04071139203676","0.010009765625","0.013427734375","0.006591796875","2584","0.00020004362461866724","36","0.00020004362461866724","0","0.00020004362461866724","0.00020004362461866724","17:0.0017863528355376301;6:0.0015431725680902508;8:0.001966493786654505","17:68;6:68;8:80","17:0.0018738489448365259;6:0.0017823874331460987;8:0.002098578210304375","0.010009765625","Yes"
"8","222.4444726091396","119.66725862910576","0.00537109375","0.0068359375","0.00390625","2584","0.0001797213369229631","36","0.0001797213369229631","0","0.0001797213369229631","0.0001797213369229631","9:0.0016679659151123405;7:0.001966493786654505","9:68;7:80","9:0.0015560033634610115;7:0.002098578210304375","0.00537109375","Yes"
"9","256.94757433564047","268.1042489872022","0.0108642578125","0.017822265625","0.00390625","2584","0.0003720160019811817","36","0.0003720160019811817","0","0.0003720160019811817","0.0003720160019811817","8:0.0016679659151123405;10:0.0013663572803646329","8:68;10:68","8:0.0015560033634610115;10:0.0012893856194532705","0.0108642578125","Yes"
"10","171.79079755816375","111.09091582644284","0.0030517578125","0.01611328125","0.0029296875","2584","0.00014124331708647038","36","0.00014124331708647038","0","0.00014124331708647038","0.00014124331708647038","9:0.0013663572803646329;11:0.0014816621767909932","9:68;11:68","9:0.0012893856194532705;11:0.0016299927808429149","0.0030517578125","Yes"
"11","205.11197784437223","182.9535922021969","0.01904296875","0.035400390625","0.002685546875","2584","0.00034921435657763947","36","0.00034921435657763947","0","0.00034921435657763947","0.00034921435657763947","18:0.0022726148437515747;10:0.0014816621767909932;12:0.0015324200050655379","18:68;10:68;12:68","18:0.0016967945489454739;10:0.0016299927808429149;12:0.0013874766203113287","0.01904296875","Yes"
"12","265.0738451233633","159.5831972478639","0.0057373046875","0.007568359375","0.00390625","2584","0.0001525583481659609","36","0.0001525583481659609","0","0.0001525583481659609","0.0001525583481659609","13:0.0016360823294514493;11:0.0015324200050655379","13:80;11:68","13:0.001791804393869889;11:0.0013874766203113287","0.0057373046875","Yes"
"13","202.86877599928417","227.0052814405966","0.0203857421875","0.0185546875","0.022216796875","2584","0.000261783233172116","36","0.000261783233172116","0","0.000261783233172116","0.000261783233172116","12:0.0016360823294514493;14:0.0011408543092372436","12:80;14:80","12:0.001791804393869889;14:0.0016352997132388636","0.0203857421875","Yes"
"14","267.3563483208422","61.579245768039726","0.0079345703125","0.010986328125","0.0048828125","2584","0.00017493991198278317","36","0.00017493991198278317","0","0.00017493991198278317","0.00017493991198278317","15:0.0013265259961051656;13:0.0011408543092372436","15:68;13:80","15:0.0014291731166956312;13:0.0016352997132388636","0.0079345703125","Yes"
"15","337.9184032815441","32.46886622900524","0.0379638671875","0.056884765625","0.01904296875","2584","0.00016358906442066572","36","0.00016358906442066572","0","0.00016358906442066572","0.00016358906442066572","14:0.0013265259961051656;19:0.0015459982672977879","14:68;19:68","14:0.0014291731166956312;19:0.001486659819889019","0.0379638671875","Yes"
"16","140.97021960849187","95.42774933466005","0.0057373046875","0.009033203125","0.00244140625","2584","0.0009414230476487809","36","0.0009414230476487809","0","0.0009414230476487809","0.0009414230476487809","23:0.0026941365298987496;3:0.0020376911482546667","23:68;3:68","23:0.003202499540830378;3:0.002510361693412261","0.0057373046875","Yes"
"17","252.37542087836118","9.900995980815429","0.005126953125","0.004638671875","0.005615234375","2584","0.000325837285058928","36","0.000325837285058928","0","0.000325837285058928","0.000325837285058928","7:0.0017863528355376301;27:0.0024165077781495847","7:68;27:68","7:0.0018738489448365259;27:0.0017850707794710707","0.005126953125","Yes"
"18","96.16129496171756","91.80954516494481","0.0084228515625","0.01220703125","0.004638671875","2584","0.00041300391636581396","36","0.00041300391636581396","0","0.00041300391636581396","0.00041300391636581396","11:0.0022726148437515747;31:0.0027040144905775","11:68;31:68","11:0.0016967945489454739;31:0.0034807819295986364","0.0084228515625","Yes"
"19","157.92810333538839","75.2089520994886","0.0074462890625","0.0087890625","0.006103515625","2584","0.00020773789776080148","36","0.00020773789776080148","0","0.00020773789776080148","0.00020773789776080148","35:0.0018780984375723897;15:0.0015459982672977879","35:80;15:68","35:0.0017405190433265605;15:0.001486659819889019","0.0074462890625","Yes"
