"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","277.7790514273048","41.36792130483956","0.009521484375","0.0087890625","0.01025390625","2584","0.00046155623261494777","36","0.00046155623261494777","0","0.00046155623261494777","0.00046155623261494777","1:0.002133297688672098","1:68","1:0.002170593233578738","0.009521484375","Yes"
"1","177.53846493649803","160.81501480450262","0.0074462890625","0.01220703125","0.002685546875","2584","0.00018743928222449442","36","0.00018743928222449442","0","0.00018743928222449442","0.00018743928222449442","2:0.000990685953658782;0:0.002133297688672098","2:68;0:68","2:0.001083398524848539;0:0.002170593233578738","0.0074462890625","Yes"
"2","320.8351209259294","406.3857726147952","0.01318359375","0.025634765625","0.000732421875","2584","0.00026121173501969297","36","0.00026121173501969297","0","0.00026121173501969297","0.00026121173501969297","1:0.000990685953658782;3:0.0013587599184779475","1:68;3:68","1:0.001083398524848539;3:0.0011407195204743426","0.01318359375","Yes"
"3","319.9349410564204","241.66502079315387","0.007568359375","0.0087890625","0.00634765625","2584","0.00027597962691214387","36","0.00027597962691214387","0","0.00027597962691214387","0.00027597962691214387","16:0.002955648963542029;2:0.0013587599184779475;4:0.0020204637210348153","16:68;2:68;4:80","16:0.0019985783062361484;2:0.0011407195204743426;4:0.0028019562740261295","0.007568359375","Yes"
"4","177.25801947711486","232.52448715868698","0.004638671875","0.00830078125","0.0009765625","2584","0.0002651380679424422","36","0.0002651380679424422","0","0.0002651380679424422","0.0002651380679424422","3:0.0020204637210348153;5:0.0019068347091748261","3:80;5:68","3:0.0028019562740261295;5:0.0030563206250033836","0.004638671875","Yes"
"5","298.5252780657995","224.30055157883345","0.0045166015625","0.006591796875","0.00244140625","2584","0.00014876548976796956","36","0.00014876548976796956","0","0.00014876548976796956","0.00014876548976796956","6:0.0015910610255161217;4:0.0019068347091748261","6:68;4:68","6:0.0012524811486932796;4:0.0030563206250033836","0.0045166015625","Yes"
"6","270.94787408554413","29.022370597275437","0.0091552734375","0.01513671875","0.003173828125","2584","0.0003470300243546228","36","0.0003470300243546228","0","0.0003470300243546228","0.0003470300243546228","5:0.0015910610255161217;7:0.0016793405771296233","5:68;7:68","5:0.0012524811486932796;7:0.0024360101903304343","0.0091552734375","Yes"
"7","262.1047595005994","124.01772805816069","0.0047607421875","0.007080078125","0.00244140625","2584","0.00020382799155193413","36","0.00020382799155193413","0","0.00020382799155193413","0.00020382799155193413","17:0.0017540463725359279;6:0.0016793405771296233;8:0.0016475271581809225","17:68;6:68;8:80","17:0.0035438362995106054;6:0.0024360101903304343;8:0.0038198810126792992","0.0047607421875","Yes"
"8","219.19277502279826","149.9555053889076","0.00439453125","0.005126953125","0.003662109375","2584","0.00017336210574911068","36","0.00017336210574911068","0","0.00017336210574911068","0.00017336210574911068","9:0.0016274986698100458;7:0.0016475271581809225","9:68;7:80","9:0.001671594705600854;7:0.0038198810126792992","0.00439453125","Yes"
"9","128.70734127075843","123.55092826206148","0.0096435546875","0.0087890625","0.010498046875","2584","0.0002709662999470308","36","0.0002709662999470308","0","0.0002709662999470308","0.0002709662999470308","8:0.0016274986698100458;10:0.0019592284476908084","8:68;10:68","8:0.001671594705600854;10:0.0016031927128933032","0.0096435546875","Yes"
"10","350.406437841711","166.53563914457865","0.005126953125","0.00537109375","0.0048828125","2584","0.00018164935496675514","36","0.00018164935496675514","0","0.00018164935496675514","0.00018164935496675514","9:0.0019592284476908084;11:0.001671171436984531","9:68;11:68","9:0.0016031927128933032;11:0.0017133141873334479","0.005126953125","Yes"
