N,topology,P,Q,parity,num_distinct,max_sv,frob_sq,cluster
6,chain,X,Y,odd,4,6.987918,81920.0000,"(6.9879,1024), (5.2078,1024), (2.0000,1024), (0.2198,1024)"
6,chain,X,Z,odd,4,6.987918,81920.0000,"(6.9879,1024), (5.2078,1024), (2.0000,1024), (0.2198,1024)"
6,chain,Y,X,odd,4,6.987918,81920.0000,"(6.9879,1024), (5.2078,1024), (2.0000,1024), (0.2198,1024)"
6,chain,Z,X,odd,4,6.987918,81920.0000,"(6.9879,1024), (5.2078,1024), (2.0000,1024), (0.2198,1024)"
6,chain,Y,Z,even,14,13.975837,163840.0000,"(13.9758,128), (12.1957,256), (10.4155,128), (8.9879,256), (7.2078,512), (6.7681,256), (5.4276,256), (4.9879,512), (4.0000,128), (3.2078,256), (2.2198,256), (1.7802,512), (0.4397,128), (0.0000,512)"
6,chain,Z,Y,even,14,13.975837,163840.0000,"(13.9758,128), (12.1957,256), (10.4155,128), (8.9879,256), (7.2078,512), (6.7681,256), (5.4276,256), (4.9879,512), (4.0000,128), (3.2078,256), (2.2198,256), (1.7802,512), (0.4397,128), (0.0000,512)"
6,star,X,Y,odd,3,10.000000,81920.0000,"(10.0000,256), (6.0000,1280), (2.0000,2560)"
6,star,X,Z,odd,3,10.000000,81920.0000,"(10.0000,256), (6.0000,1280), (2.0000,2560)"
6,star,Y,X,odd,3,10.000000,81920.0000,"(10.0000,256), (6.0000,1280), (2.0000,2560)"
6,star,Z,X,odd,3,10.000000,81920.0000,"(10.0000,256), (6.0000,1280), (2.0000,2560)"
6,star,Y,Z,even,6,20.000000,163840.0000,"(20.0000,8), (16.0000,80), (12.0000,360), (8.0000,960), (4.0000,1680), (0.0000,1008)"
6,star,Z,Y,even,6,20.000000,163840.0000,"(20.0000,8), (16.0000,80), (12.0000,360), (8.0000,960), (4.0000,1680), (0.0000,1008)"
6,ring,X,Y,odd,4,8.000000,98304.0000,"(8.0000,512), (6.9282,1024), (4.0000,1024), (0.0000,1536)"
6,ring,X,Z,odd,4,8.000000,98304.0000,"(8.0000,512), (6.9282,1024), (4.0000,1024), (0.0000,1536)"
6,ring,Y,X,odd,4,8.000000,98304.0000,"(8.0000,512), (6.9282,1024), (4.0000,1024), (0.0000,1536)"
6,ring,Z,X,odd,4,8.000000,98304.0000,"(8.0000,512), (6.9282,1024), (4.0000,1024), (0.0000,1536)"
6,ring,Y,Z,even,11,16.000000,196608.0000,"(16.0000,32), (14.9282,128), (13.8564,128), (12.0000,128), (10.9282,256), (8.0000,512), (6.9282,768), (4.0000,896), (2.9282,256), (1.0718,128), (0.0000,864)"
6,ring,Z,Y,even,11,16.000000,196608.0000,"(16.0000,32), (14.9282,128), (13.8564,128), (12.0000,128), (10.9282,256), (8.0000,512), (6.9282,768), (4.0000,896), (2.9282,256), (1.0718,128), (0.0000,864)"
