t,pair,phi_plus,phi_minus,psi_plus,psi_minus,purity,svn,concurrence,psi_norm,ph03
0.0000,5_6_center_bell,1,0,0,0,1,1.60171325190746E-16,1,0.333333333333333,0
0.0000,0_5_center_leaf,0.25,0.25,0.25,0.25,0.5,1,0,0.333333333333333,0
0.0000,1_10_far_leaf,0.5,0,0.5,0,1,0,3.54919669236837E-21,1,0
0.1000,5_6_center_bell,0.923933899113879,0.0410818217132264,0.0348617364473092,0.000122542725583139,0.920508651978474,0.252259950438784,0.916574552752794,0.54428771237448,7.11449117812724E-17
0.1000,0_5_center_leaf,0.332389023346969,0.296086554081337,0.183270993201341,0.188253429370351,0.495273732506844,1.04650637456985,0,0.350859390087046,5.03848655107682E-17
0.1000,1_10_far_leaf,0.4947896623873,0.00563010166643588,0.494630780284629,0.00494945566163443,0.978953361258555,0.0956244345333938,0,0.985856419803542,2.21357167366537E-18
0.2000,5_6_center_bell,0.806254864559815,0.0817215465863499,0.111198985457036,0.000824603396798074,0.844774664500565,0.438143037216526,0.828562654197889,0.673477298618987,-2.38161766728248E-18
0.2000,0_5_center_leaf,0.347815178710766,0.329050462667642,0.183851046712791,0.139283311908803,0.491081777719279,1.08470363201636,0,0.371941531350796,-8.09228333141963E-17
0.2000,1_10_far_leaf,0.486750268107927,0.0157219643459652,0.487740182967594,0.00978758457851633,0.94964650532688,0.198198410346283,0,0.965762427365964,3.80992774810433E-18
0.3000,5_6_center_bell,0.691965350154242,0.0758142512990094,0.229754309817286,0.00246608872945848,0.842955519028719,0.46952804383987,0.828073838313414,0.802340409453566,-7.95355919167701E-18
0.3000,0_5_center_leaf,0.262044956650399,0.273029221966004,0.264022264853112,0.200903556530483,0.483928494806751,1.12696323111177,0,0.36933407113355,1
0.3000,1_10_far_leaf,0.475040070400838,0.026155812525569,0.484282731414758,0.0145213856588331,0.920267427411564,0.28962875026831,0,0.945088930906836,8.14951738479485E-18
0.4000,5_6_center_bell,0.517865168817654,0.0866094158894773,0.390006738354248,0.00551867693861824,0.808643089929078,0.571413307813374,0.787258361726976,0.853729278731623,1.60049932218089E-19
0.4000,0_5_center_leaf,0.309024591852316,0.234165572802579,0.222519340630533,0.234290494714572,0.479042195131313,1.15806690917509,0,0.375301581914962,1.75647205355327E-16
0.4000,1_10_far_leaf,0.466846372510588,0.0319505394019052,0.482014651910573,0.0191884361769319,0.900086083016184,0.35001689071935,0,0.930580274456324,-1.70613587042887E-18
0.5000,5_6_center_bell,0.330869107014291,0.139095470317194,0.519996603953306,0.0100388187152054,0.71288202087169,0.788439822808854,0.655783925784798,0.761852271299384,6.47849304964185E-18
0.5000,0_5_center_leaf,0.345817485414076,0.259079685123639,0.212312648508144,0.182790180954138,0.478521582030563,1.1793378369826,0,0.428183937451807,1.29708846297378E-16
0.5000,1_10_far_leaf,0.460277874768935,0.0433352734587871,0.47263533235578,0.0237515194164946,0.870292684972896,0.432342697987732,0,0.908724009085758,2.16035258137083E-17
0.6000,5_6_center_bell,0.203381088774865,0.168372595288017,0.612664127755064,0.015582188182052,0.653432259297992,0.931850259611181,0.560830240098084,0.640806795048644,-3.6523735626901E-16
0.6000,0_5_center_leaf,0.28372004521263,0.264703101832104,0.292267439605543,0.15930941334972,0.477373503920068,1.20553792184481,0,0.437071358064087,7.80347678298922E-17
0.6000,1_10_far_leaf,0.447000057246312,0.0613266638451389,0.463504667226415,0.0281686116821314,0.829555509636933,0.537598060694823,0,0.877623789201301,4.56363495057591E-18
0.7000,5_6_center_bell,0.114284348766517,0.162469944888076,0.701265497415574,0.0219802089298286,0.636754046299278,0.99711660912299,0.534886356702034,0.548053852155555,-1
0.7000,0_5_center_leaf,0.300405497351385,0.21809691340131,0.285511053309328,0.195986535937978,0.475535440332355,1.22811931701249,0,0.429742528758257,5.19920516690491E-17
0.7000,1_10_far_leaf,0.438767698646014,0.0727520898701057,0.456014581807929,0.0324656296759528,0.80073909443785,0.612173413719811,0,0.854928233912242,-9.99462857758878E-18
0.8000,5_6_center_bell,0.0641123754143961,0.174360024935672,0.732557927972491,0.0289696716774396,0.604904451874409,1.07894982541965,0.477610384832156,0.442320611108102,1
0.8000,0_5_center_leaf,0.334188917761405,0.180186970544241,0.268343326842542,0.217280784851813,0.477381145111874,1.23862074664172,0,0.459961255765424,2.06168359719783E-17
0.8000,1_10_far_leaf,0.440252866642625,0.0792881917305334,0.443836854333757,0.036622087293086,0.781051091758128,0.663749651868517,0,0.839238503795033,8.79596566039257E-18
0.9000,5_6_center_bell,0.0795635302987029,0.199416492411754,0.685242995053242,0.0357769822363065,0.563500216964617,1.17164892761989,0.3859199261019,0.459887646613296,1
0.9000,0_5_center_leaf,0.294534340066945,0.187232008052461,0.325603126300452,0.192630525580146,0.480835279544731,1.24804265803793,0,0.489569601334275,5.76675537908114E-16
0.9000,1_10_far_leaf,0.435352693025014,0.0925617584500555,0.431474159568383,0.0406113889565506,0.751629809113972,0.734421658070479,0,0.814705933269884,-1.07724590059722E-17
1.0000,5_6_center_bell,0.14267630450899,0.199669146783185,0.615756912759831,0.0418976359479934,0.546518425218508,1.22275200909788,0.334486773726224,0.516344515438282,1
1.0000,0_5_center_leaf,0.300290040904427,0.189564413770993,0.34016194986438,0.169983595460201,0.488653719950136,1.24963881630039,0,0.498468960595075,1.43373894885027E-17
1.0000,1_10_far_leaf,0.429653605585914,0.108975315038241,0.416938658903206,0.0444324204726404,0.717905145974979,0.813725180178446,0,0.78532997298523,-3.97115836741851E-17
1.1000,5_6_center_bell,0.23609447427124,0.189839795459636,0.526870505626913,0.047195224642209,0.54148968003839,1.24872918698995,0.316551175737101,0.563914341110008,3.28289813605834E-17
1.1000,0_5_center_leaf,0.328652565196241,0.151697183964921,0.326753650824538,0.1928966000143,0.494589254576823,1.25091435311927,0,0.512095610076952,-8.19116957300297E-18
1.1000,1_10_far_leaf,0.4343307009087,0.116875829236507,0.400738856980883,0.0480546128739096,0.697769354742403,0.863947870646601,0,0.767083350205331,-9.89281292672066E-18
1.2000,5_6_center_bell,0.351576128854289,0.192619021052072,0.404432288111342,0.0513725619822988,0.529991938174918,1.27893870893823,0.282913176059717,0.595542936185327,4.08167383518675E-17
1.2000,0_5_center_leaf,0.298135027592864,0.124399277253693,0.358375925660485,0.219089769492959,0.490566191363356,1.27007640376923,0,0.511934418919028,1.07763316517649E-16
1.2000,1_10_far_leaf,0.436472725178881,0.120471807445958,0.391541978483095,0.0515134888920666,0.685091000721628,0.896913977897459,0,0.755424159931533,-4.0135566751041E-18
1.3000,5_6_center_bell,0.458744325742196,0.194692818943257,0.292264136335264,0.0542987189792816,0.521820170346051,1.30017983578726,0.240851069634642,0.572968081636578,7.68509209786392E-17
1.3000,0_5_center_leaf,0.295652813231621,0.136662815465021,0.374332944269902,0.193351427033453,0.497020121679468,1.26850952057568,0,0.526748613630799,-8.4655504899105E-18
1.3000,1_10_far_leaf,0.433554722763134,0.131603293227303,0.379995407307228,0.0548465767023319,0.662195121935746,0.950032922310288,0,0.733544909989232,-6.14330077777229E-18
1.4000,5_6_center_bell,0.539313471926138,0.190440400812021,0.213992196383627,0.0562539308782163,0.520754949194185,1.30729011808798,0.218844569042958,0.527474178654671,-7.9137611629805E-18
1.4000,0_5_center_leaf,0.326726812269437,0.140734683502282,0.361609339129228,0.170929165099049,0.509137542627003,1.25581051449199,0,0.548077249187873,-3.54404479536985E-17
1.4000,1_10_far_leaf,0.434370315095619,0.142660515862995,0.364967203711496,0.058001965329887,0.640201421539755,1.00078901912847,0,0.711293121229874,-6.06321895609499E-19
1.5000,5_6_center_bell,0.592245288574195,0.190856383317021,0.159369269210757,0.0575290588980224,0.516879504320502,1.31773947942349,0.213836354442833,0.467358654260613,5.0727919159287E-18
1.5000,0_5_center_leaf,0.304857579555018,0.11713710401107,0.373083970541867,0.204921345892047,0.496862286328309,1.28869395157299,0,0.529338070000383,1.35125120371759E-17
1.5000,1_10_far_leaf,0.434128017198061,0.142491458955168,0.362348180612988,0.0610323432337843,0.634264890373116,1.01822084082563,0,0.705782704659113,-3.75718141870046E-18
1.6000,5_6_center_bell,0.601902265870753,0.194010732586876,0.145657587744541,0.0584294137978302,0.511687274522768,1.32934762479134,0.20615898673354,0.443337334408902,1.16760190861764E-17
1.6000,0_5_center_leaf,0.287268911968784,0.107555371519287,0.38274575275138,0.222429963760551,0.487496229703721,1.31260625514143,0,0.513594770491521,8.76158094989845E-18
1.6000,1_10_far_leaf,0.430632701300611,0.14289141403179,0.36243837758916,0.0640375070784394,0.627737460607324,1.03643068687742,0,0.699948830386426,-9.11344367682297E-18
1.7000,5_6_center_bell,0.561718466277138,0.196842044567664,0.18199323958272,0.0594462495724781,0.507409017754516,1.3387636416955,0.189302331520659,0.484246226872847,5.84524979546366E-17
1.7000,0_5_center_leaf,0.318704657034658,0.129263900440439,0.364771987904987,0.187259454619916,0.496049103866041,1.30206018447365,0,0.534088185856561,1.49382881798721E-17
1.7000,1_10_far_leaf,0.426256684555404,0.150984341769659,0.355785577006458,0.0669733966684782,0.61125796978619,1.07440524517959,0,0.683068576345319,-1.16595226373761E-17
1.8000,5_6_center_bell,0.491081959684511,0.205663044840301,0.242300105439892,0.0609548900352918,0.497179188678733,1.35951719251961,0.171962474505673,0.522309942071879,-3.38560027416146E-18
1.8000,0_5_center_leaf,0.315647165964985,0.144907874449831,0.359578384408853,0.179866575176326,0.486019820728122,1.32964038356513,0,0.523097822704563,-1.55638720084508E-17
1.8000,1_10_far_leaf,0.419121942616238,0.152928874690589,0.358101978018759,0.0698472046744111,0.603712841909358,1.0932280631352,0,0.676115122520515,-2.36282303368176E-17
1.9000,5_6_center_bell,0.402110114707988,0.214647977755698,0.320114688005274,0.0631272195310382,0.483003920559346,1.39144564351471,0.166236989716734,0.535481667132055,3.7555798866856E-16
1.9000,0_5_center_leaf,0.287090627325923,0.135473573768377,0.36379512253557,0.21364067637013,0.464609976871848,1.37543564377936,0,0.489005320661746,4.09717819761985E-18
