t,pair,phi_plus,phi_minus,psi_plus,psi_minus,purity,svn,concurrence,psi_norm,ph03
0.0000,4_5_center_bell,1,0,0,0,1,1.60171325190746E-16,1,0.333333333333333,0
0.0000,0_4_center_leaf,0.25,0.25,0.25,0.25,0.5,1,0,0.333333333333333,0
0.0000,1_8_far_leaf,0.5,0,0.5,0,1,0,3.54919669236837E-21,1,0
0.1000,4_5_center_bell,0.920235698277941,0.0440446295054365,0.0355954837974029,0.000124188419218643,0.914969118205883,0.266310720516353,0.910415729296437,0.54412510472758,-6.30204588791461E-19
0.1000,0_4_center_leaf,0.328295757288071,0.284034295934845,0.188844859765212,0.198825087011872,0.4954575727,1.04572004305038,0,0.356471321275409,3.89856389252411E-17
0.1000,1_8_far_leaf,0.494785874677578,0.00566920980185234,0.494595497785325,0.00494941773524477,0.978876245568817,0.0959174731702507,0,0.985804155902597,1.51700286261008E-18
0.2000,4_5_center_bell,0.779169966586785,0.10923906352739,0.110753334879462,0.000837635006363142,0.800153146896551,0.528675026911492,0.770589845805556,0.647358652693573,2.0605842695003E-18
0.2000,0_4_center_leaf,0.399248713533666,0.33248547329104,0.146161335004039,0.122104478171255,0.493174180083024,1.08159575269813,0,0.376769646570644,1.55075878074475E-17
0.2000,1_8_far_leaf,0.486264944886427,0.017640021695535,0.486312345190616,0.00978268822742176,0.945950451100687,0.209647120023271,0,0.96318751110273,3.09303125546888E-18
0.3000,4_5_center_bell,0.66408963921427,0.129860747483432,0.203679114715869,0.00237049858642795,0.758233161322306,0.637804228377236,0.714008840725596,0.724867491835773,-1.55040182423361E-18
0.3000,0_4_center_leaf,0.325018836498577,0.320790466809544,0.227973561333232,0.126217135358647,0.487024089204612,1.12817512610555,0,0.405630962684949,3.59120441262361E-16
0.3000,1_8_far_leaf,0.47001960521168,0.0362616342808111,0.479234979493391,0.0144837810141163,0.90134340038691,0.341284162334205,0,0.931420153353531,-1.90951983319241E-18
0.4000,4_5_center_bell,0.540683803728471,0.114926981233317,0.339379427900947,0.00500978713726362,0.761999697567604,0.668066014518929,0.723030486711226,0.804131749139356,-2.59387332403728E-18
