t,pair,phi_plus,phi_minus,psi_plus,psi_minus,purity,svn,concurrence,psi_norm,ph03
0.0000,3_4_center_bell,1,0,0,0,1,1.60171325190746E-16,1,0.333333333333333,0
0.0000,2_3_adjacent,0.25,0.25,0.25,0.25,0.5,1,0,0.333333333333333,0
0.0000,0_1_far_edge,0.5,0,0.5,0,1,0,3.54919669236837E-21,1,0
0.1000,3_4_center_bell,0.91649533703832,0.0276058768930974,0.0371905504707479,0.0187082355978342,0.909477395547869,0.322890850525688,0.905393027034351,0.5465309688311,-6.2120168699977E-19
0.1000,2_3_adjacent,0.242111884740942,0.268174643663424,0.258454670754824,0.231258800840809,0.495027937282735,1.04539612929071,0.115927721579714,0.401611570614866,-1
0.1000,0_1_far_edge,0.494953469086209,0.0050462018453008,0.494953791050359,0.00504653801813068,0.979916527237712,0.0919253742164513,0,0.986508796179556,3.16999832295747E-19
0.2000,3_4_center_bell,0.741198254992292,0.0721370065987094,0.124493118529925,0.0621716198790728,0.748290843636709,0.754085266880223,0.708337958386129,0.637464608389541,2.47591517304721E-18
0.2000,2_3_adjacent,0.237002607856935,0.306403863861091,0.270589142993762,0.186004385288212,0.489523534727615,1.08529710251085,0.203146982213023,0.451251444732606,-1
0.2000,0_1_far_edge,0.488808190550307,0.0111736209672519,0.488820352498646,0.0111978359837939,0.955765241344307,0.178481339304748,0,0.970003432986891,2.02312482781754E-18
0.3000,3_4_center_bell,0.575774463627352,0.102567764424925,0.218452137426949,0.103205634520773,0.62453179573347,1.06128735165307,0.505957989325764,0.642491920722992,2.33377774714181E-18
0.3000,2_3_adjacent,0.263384335312499,0.333187074914028,0.266251878882504,0.137176710890969,0.482167129787635,1.13930918163278,0.197070689360395,0.462295824905024,-1
0.3000,0_1_far_edge,0.479440598053607,0.0204485670413645,0.479418741718448,0.0206920931865807,0.919559286955904,0.291020993364453,0,0.944615386766346,4.21059317398759E-18
0.4000,3_4_center_bell,0.473064034237522,0.108589426539505,0.297727302001636,0.120619237221336,0.576243671091434,1.18755364952157,0.371352723068375,0.639968648171062,-7.57500825209794E-18
0.4000,2_3_adjacent,0.322116333990082,0.329452968999205,0.245102352912364,0.103328344098348,0.475626588507177,1.20715877063449,0.114062051459956,0.442807799714633,-0.999999999999999
0.4000,0_1_far_edge,0.465620683265563,0.0341893599112892,0.464847700035828,0.0353422567873193,0.866784271733423,0.434098749093223,0,0.906016652901842,4.47957440287165E-18
0.5000,3_4_center_bell,0.414744852950228,0.106219096424266,0.366521663711025,0.112514386914481,0.578010521150103,1.19509944622663,0.307068360824458,0.656758115150962,-8.94867965670253E-19
0.5000,2_3_adjacent,0.388120512672225,0.298938700688036,0.224302242731705,0.0886385439080331,0.477220442860971,1.26245238668137,0,0.466690411650652,-4.95329368097095E-17
0.5000,0_1_far_edge,0.44846774570261,0.0516866076647693,0.444584438410102,0.055261208222518,0.801298366152947,0.59191016759912,0,0.855127178986244,8.349887319682E-18
0.6000,3_4_center_bell,0.363500244388942,0.114957699333128,0.428194979880047,0.0933470763978824,0.586826658869803,1.17849781616841,0.26363720830597,0.665311176149931,-6.66501140166399E-18
0.6000,2_3_adjacent,0.441387349688055,0.257377224738579,0.216083751107972,0.0851516744653941,0.491495956405717,1.28105815244624,0,0.499068522965715,0
0.6000,0_1_far_edge,0.430599302491199,0.0703151645451337,0.420373248932507,0.078712284031159,0.733360293346821,0.74268986055905,0,0.798378993567014,0
0.7000,3_4_center_bell,0.310200980453526,0.136983991200693,0.473055004467913,0.0797600238778673,0.579061857785158,1.18770067975043,0.201906289884159,0.644802048286466,-2.86901227831234E-17
0.7000,2_3_adjacent,0.480430277428185,0.217858178035529,0.21871777171203,0.0829937728242546,0.516558053489074,1.26126350338417,0,0.535801092039078,2.10296384679008E-17
0.7000,0_1_far_edge,0.413402058436545,0.0867939042309197,0.396874689356465,0.10292934797607,0.67317735780501,0.871639212547691,0,0.744453068201925,-3.3812972829263E-18
0.8000,3_4_center_bell,0.268177280227781,0.159949757496266,0.493486275410728,0.0783866868652232,0.559338549210348,1.21921415007063,0.12435668445731,0.608546927058525,-3.18876623444681E-17
0.8000,2_3_adjacent,0.507307079036047,0.186581625587674,0.227467570685067,0.0786437246912106,0.544995849589267,1.22037220530775,0.0191530295073384,0.571817321869557,-3.44331655789465E-18
0.8000,0_1_far_edge,0.395488712936046,0.0986806571109503,0.380733822032524,0.125096807920479,0.626163505724366,0.974741476256775,0,0.699689047324796,-1.86039300942666E-17
0.9000,3_4_center_bell,0.245287092989376,0.17327076900431,0.496740458235568,0.084701679770746,0.542101241866721,1.24855348288882,0.0551989971592098,0.580405854313314,-3.45034043310607E-17
0.9000,2_3_adjacent,0.516244679593759,0.166167657147658,0.242667921950163,0.07491974130842,0.566095283057392,1.18474136309143,0.0563669065524415,0.600999691429652,6.30923593145611E-18
0.9000,0_1_far_edge,0.374555077414241,0.105371101042822,0.377274378587864,0.142799442955073,0.592773150574217,1.05493492362067,0,0.665461900809671,-8.20523776551444E-18
1.0000,3_4_center_bell,0.238028145459893,0.176086661175035,0.494876008191075,0.0910091851739961,0.535208814391432,1.25866141071033,0.00952103333051114,0.570020148260534,-1.78290733124555E-17
1.0000,2_3_adjacent,0.503080353510404,0.157381463326033,0.26465069851458,0.0748874846489823,0.572427034239316,1.17504714639315,0.0692963036049872,0.618856903740647,-5.19117606564519E-18
1.0000,0_1_far_edge,0.350746318390759,0.108412757504512,0.386856367976829,0.1539845561279,0.570848286689821,1.11658450695609,0,0.639753818272851,-2.27859331649785E-17
1.1000,3_4_center_bell,0.244005031373709,0.172028097679751,0.489494215525207,0.0944726554213322,0.537784210765619,1.24988805961535,0,0.576084963261706,6.13729542351847E-17
1.1000,2_3_adjacent,0.474131057432156,0.157950518002315,0.290747172237727,0.0771712523278005,0.566355347672547,1.1904882379572,0.0640218371805935,0.62466943811407,-2.18300766230844E-19
1.1000,0_1_far_edge,0.327572102975377,0.111141020960363,0.404212830516591,0.157074045547669,0.557393224100537,1.16320784100199,0,0.62064541632219,-4.59233178850162E-17
1.2000,3_4_center_bell,0.265087017127122,0.162915845968032,0.473805216165633,0.0981919207392129,0.544621741302806,1.23406670476036,0,0.593392905144926,-2.16178252998091E-17
1.2000,2_3_adjacent,0.437112842788751,0.163005004942276,0.322218777518885,0.0776633747500876,0.556699000706526,1.21474178140616,0.0573543487997264,0.624255806953842,2.51807662878558E-18
1.2000,0_1_far_edge,0.309409063426723,0.117530518288707,0.421392505595227,0.151667912689343,0.548809756310194,1.19893503859788,0,0.607195821790097,-2.87775598778567E-17
