=== TEMPORAL SACRIFICE PROTOCOL ===
Edge -> Center switch sweep at N=7
Phase 1: [0.344, 0.001x6], Phase 2: [0.001x3, 0.344, 0.001x3]
Baselines: Edge SumMI=0.4076 PeakMI=0.0364 PeakT=2.00 | Center SumMI=0.1818 PeakMI=0.1089 PeakT=1.00

--- t_switch=0.5 ---
T=4.50 SumMI=0.042178 PeakMI=0.045002 Phase=2
T=5.00 SumMI=0.016571 PeakMI=0.042511 Phase=2
T=5.50 SumMI=0.011794 PeakMI=0.030344 Phase=2
T=6.00 SumMI=0.013654 PeakMI=0.023137 Phase=2
T=6.50 SumMI=0.012697 PeakMI=0.021829 Phase=2
T=7.00 SumMI=0.012895 PeakMI=0.019451 Phase=2
T=7.50 SumMI=0.014824 PeakMI=0.014653 Phase=2
T=8.00 SumMI=0.013444 PeakMI=0.020373 Phase=2
T=8.50 SumMI=0.010774 PeakMI=0.024808 Phase=2
T=9.00 SumMI=0.009408 PeakMI=0.027156 Phase=2
T=9.50 SumMI=0.009023 PeakMI=0.021498 Phase=2
T=10.00 SumMI=0.006980 PeakMI=0.020570 Phase=2
T=10.50 SumMI=0.006048 PeakMI=0.020884 Phase=2
T=11.00 SumMI=0.006441 PeakMI=0.023128 Phase=2
T=11.50 SumMI=0.006828 PeakMI=0.021343 Phase=2
T=12.00 SumMI=0.006258 PeakMI=0.020387 Phase=2
T=12.50 SumMI=0.005578 PeakMI=0.019502 Phase=2
T=13.00 SumMI=0.005385 PeakMI=0.021630 Phase=2
T=13.50 SumMI=0.005247 PeakMI=0.021264 Phase=2
T=14.00 SumMI=0.004628 PeakMI=0.019892 Phase=2
T=14.50 SumMI=0.004216 PeakMI=0.017710 Phase=2
T=15.00 SumMI=0.004050 PeakMI=0.018255 Phase=2
T=15.50 SumMI=0.003992 PeakMI=0.018996 Phase=2
T=16.00 SumMI=0.003899 PeakMI=0.019040 Phase=2
T=16.50 SumMI=0.003690 PeakMI=0.017214 Phase=2
T=17.00 SumMI=0.003500 PeakMI=0.016560 Phase=2
T=17.50 SumMI=0.003428 PeakMI=0.017004 Phase=2
T=18.00 SumMI=0.003371 PeakMI=0.017838 Phase=2
T=18.50 SumMI=0.003260 PeakMI=0.016912 Phase=2
T=19.00 SumMI=0.003022 PeakMI=0.015407 Phase=2
T=19.50 SumMI=0.002906 PeakMI=0.015161 Phase=2
T=20.00 SumMI=0.002901 PeakMI=0.015946 Phase=2
RESULT SumMI=0.332528 PeakMI=0.045002 PeakT=1.50 SwitchT=1.50

--- t_switch=2.0 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.407596 PeakMI=0.006464 Phase=1
T=2.50 SumMI=0.275251 PeakMI=0.016260 Phase=2
T=3.00 SumMI=0.144341 PeakMI=0.009061 Phase=2
T=3.50 SumMI=0.104501 PeakMI=0.002420 Phase=2
T=4.00 SumMI=0.062957 PeakMI=0.014640 Phase=2
T=4.50 SumMI=0.056629 PeakMI=0.029767 Phase=2
T=5.00 SumMI=0.036656 PeakMI=0.038511 Phase=2
T=5.50 SumMI=0.018626 PeakMI=0.039342 Phase=2
T=6.00 SumMI=0.013589 PeakMI=0.023322 Phase=2
T=6.50 SumMI=0.014419 PeakMI=0.014259 Phase=2
T=7.00 SumMI=0.014365 PeakMI=0.011475 Phase=2
T=7.50 SumMI=0.014351 PeakMI=0.009526 Phase=2
T=8.00 SumMI=0.014728 PeakMI=0.010988 Phase=2
T=8.50 SumMI=0.013739 PeakMI=0.015086 Phase=2
T=9.00 SumMI=0.010858 PeakMI=0.016688 Phase=2
T=9.50 SumMI=0.008609 PeakMI=0.015463 Phase=2
