=== RESONANCE TEST: CΨ OSCILLATION ===
N=3, J=5.00, γ=[0.0001,0.0001,0.0050]
Σγ=0.0052, dt=0.01, tmax=60

Initial state: Bell(0,1) ⊗ |+>^(N-2)
     T |   CΨ(01) |   CΨ(0B) |   MI(01) |   MI(0B) |     Pur | event
 47.50 |   0.1994 |   0.1910 | 0.415219 | 0.359371 | 0.6364 | 
 47.70 |   0.2509 |   0.1816 | 0.808135 | 0.294296 | 0.6353 |  ↑ CROSS #222
 47.75 |   0.1947 |   0.1280 | 1.110907 | 0.009280 | 0.6350 |  ↓ CROSS #223
 47.80 |   0.2576 |   0.1699 | 0.880551 | 0.217478 | 0.6347 |  ↑ CROSS #224
 47.85 |   0.2176 |   0.1604 | 0.530450 | 0.463698 | 0.6345 |  ↓ CROSS #225
 48.00 |   0.1889 |   0.1787 | 0.385120 | 0.297210 | 0.6337 | 
 48.50 |   0.2003 |   0.1704 | 0.463769 | 0.481917 | 0.6310 | 
 49.00 |   0.2076 |   0.1338 | 1.082616 | 0.025817 | 0.6283 | 
 49.05 |   0.2531 |   0.1620 | 0.921713 | 0.168685 | 0.6280 |  ↑ CROSS #226
 49.10 |   0.2212 |   0.1597 | 0.555722 | 0.439538 | 0.6278 |  ↓ CROSS #227
 49.50 |   0.1902 |   0.1730 | 0.460802 | 0.425700 | 0.6257 | 
 50.00 |   0.2008 |   0.1909 | 0.413102 | 0.394248 | 0.6230 | 
 50.50 |   0.1830 |   0.1667 | 0.332934 | 0.247033 | 0.6204 | 
 51.00 |   0.2055 |   0.1580 | 0.483274 | 0.460482 | 0.6178 | 
 51.50 |   0.2286 |   0.1480 | 0.996782 | 0.087943 | 0.6153 | 
 52.00 |   0.1773 |   0.1655 | 0.425782 | 0.371339 | 0.6127 | 
 52.50 |   0.1953 |   0.1827 | 0.389293 | 0.414170 | 0.6101 | 
 53.00 |   0.1727 |   0.1588 | 0.284400 | 0.215278 | 0.6076 | 
 53.50 |   0.2117 |   0.1514 | 0.523963 | 0.421514 | 0.6051 | 
 54.00 |   0.2353 |   0.1611 | 0.887001 | 0.170150 | 0.6026 | 
 54.50 |   0.1617 |   0.1553 | 0.378088 | 0.311484 | 0.6001 | 
 55.00 |   0.1863 |   0.1658 | 0.356534 | 0.418361 | 0.5977 | 
 55.50 |   0.1566 |   0.1523 | 0.257103 | 0.209716 | 0.5952 | 
 56.00 |   0.2184 |   0.1578 | 0.586764 | 0.366750 | 0.5927 | 
 56.50 |   0.2300 |   0.1675 | 0.768395 | 0.251046 | 0.5904 | 
 57.00 |   0.1516 |   0.1468 | 0.326466 | 0.254777 | 0.5880 | 
 57.50 |   0.1782 |   0.1436 | 0.331616 | 0.409913 | 0.5856 | 
 58.00 |   0.1468 |   0.1463 | 0.258459 | 0.230540 | 0.5832 | 
 58.50 |   0.2235 |   0.1603 | 0.664365 | 0.297703 | 0.5808 | 
 59.00 |   0.2174 |   0.1644 | 0.653356 | 0.316052 | 0.5785 | 
 59.50 |   0.1563 |   0.1437 | 0.286224 | 0.212223 | 0.5762 | 
 60.00 |   0.1748 |   0.1398 | 0.325531 | 0.392689 | 0.5739 | 

Total crossings: 114 down + 113 up = 227
