# two-coast protection landscape, recomputed from below by simulations/two_coast_sweep.py
# N=4 gamma=0.05 sigma=0.2 Z-dephasing on every site, no bond terms
# field:       H(theta) = sum_l (cos theta X_l + sin theta Z_l)
# frustration: H(phi) = sum_w (cos phi XIX + sin phi XXX + XXY + YXX), 3-site windows
# pairing_true = optimal (bottleneck) worst-partner distance for lambda -> -lambda-2sigma
# rate_error / freq_error = the same test on the real / imaginary parts alone
# verdict = the C# classifier's (greedy metric, threshold 1e-6), carried over from simulations/results/tilt_sweep_csharp.tsv
# angle_deg is that file's grid, rounded to 4 decimals; nine small angles are a radian
#   ladder (1e-4 to 5e-2 rad) and were evaluated at their exact value, not the rounded one
# the two angle-0 rows are the protected point: every column there is eigensolver noise
edge	angle_deg	verdict	pairing_true	rate_error	freq_error
field	35.0000	Hard	1.316687E-01	1.316687E-01	1.865175E-14
field	35.5000	Hard	1.349618E-01	1.325191E-01	1.421085E-14
field	36.0000	Hard	1.382748E-01	1.308626E-01	2.309264E-14
field	36.5000	Hard	1.416066E-01	1.291967E-01	3.730349E-14
field	37.0000	Hard	1.449563E-01	1.275219E-01	3.819167E-14
field	37.5000	Hard	1.483227E-01	1.258386E-01	3.375078E-14
field	38.0000	Hard	1.517049E-01	1.241475E-01	1.953993E-14
field	38.5000	Hard	1.551018E-01	1.224491E-01	2.309264E-14
field	39.0000	Hard	1.585125E-01	1.207438E-01	2.531308E-14
field	39.5000	Hard	1.619357E-01	1.190321E-01	4.618528E-14
field	40.0000	Hard	1.653706E-01	1.173147E-01	2.486900E-14
field	40.5000	Hard	1.688161E-01	1.155920E-01	1.909584E-14
field	41.0000	Hard	1.722710E-01	1.138645E-01	2.930989E-14
field	41.5000	Hard	1.757343E-01	1.121328E-01	1.332268E-14
field	42.0000	Hard	1.792051E-01	1.103975E-01	1.776357E-14
field	42.5000	Hard	1.826822E-01	1.086589E-01	3.197442E-14
field	43.0000	Hard	1.861645E-01	1.069177E-01	2.664535E-14
field	43.5000	Hard	1.896510E-01	1.051745E-01	3.463896E-14
field	44.0000	Hard	1.931407E-01	1.034297E-01	1.953993E-14
field	44.5000	Hard	1.966324E-01	1.016838E-01	2.486900E-14
field	45.0000	Hard	2.001251E-01	9.993746E-02	2.042810E-14
field	45.5000	Hard	2.036177E-01	9.819115E-02	2.664535E-14
field	46.0000	Hard	2.071092E-01	9.644541E-02	2.042810E-14
field	46.5000	Hard	2.105984E-01	9.470078E-02	2.131628E-14
field	47.0000	Hard	2.140844E-01	9.295778E-02	2.220446E-14
field	47.5000	Hard	2.175661E-01	9.121696E-02	2.398082E-14
field	48.0000	Hard	2.210423E-01	8.947884E-02	1.598721E-14
field	48.5000	Hard	2.245121E-01	8.774396E-02	1.687539E-14
field	49.0000	Hard	2.279743E-01	8.601284E-02	2.930989E-14
field	49.5000	Hard	2.314280E-01	8.428602E-02	1.243450E-14
field	50.0000	Hard	2.348720E-01	8.256402E-02	4.085621E-14
field	50.5000	Hard	2.383053E-01	8.084736E-02	2.309264E-14
field	51.0000	Hard	2.417268E-01	7.913658E-02	2.486900E-14
field	51.5000	Hard	2.451356E-01	7.743219E-02	2.398082E-14
field	52.0000	Hard	2.485306E-01	7.573472E-02	2.131628E-14
field	52.5000	Hard	2.519106E-01	7.404468E-02	1.953993E-14
field	53.0000	Hard	2.552748E-01	7.236258E-02	2.486900E-14
field	53.5000	Hard	2.586221E-01	7.068895E-02	1.065814E-14
field	54.0000	Hard	2.619514E-01	6.902430E-02	6.572520E-14
field	54.5000	Hard	2.652618E-01	6.736912E-02	1.643130E-14
field	55.0000	Hard	2.685522E-01	6.572392E-02	3.819167E-14
field	55.5000	Hard	2.718216E-01	6.408922E-02	1.509903E-14
field	56.0000	Hard	2.750690E-01	6.246549E-02	2.264855E-14
field	56.5000	Hard	2.782935E-01	6.085325E-02	2.131628E-14
field	57.0000	Hard	2.814941E-01	5.925297E-02	2.042810E-14
field	57.5000	Hard	2.846697E-01	5.766516E-02	1.865175E-14
field	58.0000	Hard	2.878194E-01	5.609028E-02	1.820766E-14
field	58.5000	Hard	2.909423E-01	5.452883E-02	1.776357E-14
field	59.0000	Hard	2.940375E-01	5.298127E-02	1.598721E-14
field	59.5000	Hard	2.971038E-01	5.144808E-02	4.529710E-14
field	60.0000	Hard	3.001406E-01	4.992972E-02	3.463896E-14
field	60.5000	Hard	3.031467E-01	4.842666E-02	2.131628E-14
field	61.0000	Hard	3.061213E-01	4.693934E-02	9.769963E-15
field	61.5000	Hard	3.090635E-01	4.546823E-02	3.463896E-14
field	62.0000	Hard	3.119724E-01	4.401378E-02	1.598721E-14
field	62.5000	Hard	3.148472E-01	4.257641E-02	2.131628E-14
field	63.0000	Hard	3.176869E-01	4.115657E-02	1.598721E-14
field	63.5000	Hard	3.204906E-01	3.975469E-02	2.131628E-14
field	64.0000	Hard	3.232576E-01	3.837120E-02	2.486900E-14
field	64.5000	Hard	3.259870E-01	3.700651E-02	5.240253E-14
field	65.0000	Hard	3.286779E-01	3.566104E-02	2.442491E-14
field	65.5000	Hard	3.313296E-01	3.433520E-02	1.865175E-14
field	66.0000	Hard	3.339412E-01	3.302939E-02	3.730349E-14
field	66.5000	Hard	3.365120E-01	3.174400E-02	2.930989E-14
field	67.0000	Hard	3.390412E-01	3.047942E-02	1.332268E-14
field	67.5000	Hard	3.415279E-01	2.923604E-02	1.776357E-14
field	68.0000	Hard	3.439715E-01	2.801423E-02	2.664535E-14
field	68.5000	Hard	3.463713E-01	2.681436E-02	2.664535E-14
field	69.0000	Hard	3.487264E-01	2.563680E-02	3.197442E-14
field	69.5000	Hard	3.510362E-01	2.448190E-02	3.108624E-14
field	70.0000	Hard	3.533000E-01	2.335002E-02	1.731948E-14
field	70.5000	Hard	3.555170E-01	2.224148E-02	1.598721E-14
field	71.0000	Hard	3.576867E-01	2.115663E-02	6.217249E-14
field	71.5000	Hard	3.598084E-01	2.009580E-02	1.509903E-14
field	72.0000	Hard	3.618814E-01	1.905930E-02	1.598721E-14
field	72.5000	Hard	3.639051E-01	1.804745E-02	2.486900E-14
field	73.0000	Hard	3.658789E-01	1.706056E-02	2.753353E-14
field	73.5000	Hard	3.678022E-01	1.609891E-02	8.704149E-14
field	74.0000	Hard	3.696744E-01	1.516281E-02	2.131628E-14
field	74.5000	Hard	3.714949E-01	1.425254E-02	2.309264E-14
field	75.0000	Hard	3.732633E-01	1.336836E-02	1.865175E-14
field	75.5000	Hard	3.749789E-01	1.251054E-02	2.131628E-14
field	76.0000	Hard	3.766413E-01	1.167935E-02	2.176037E-14
