# two-coast protection landscape, recomputed from below by simulations/two_coast_sweep.py
# N=4 gamma=0.05 sigma=0.2 Z-dephasing on every site, no bond terms
# field:       H(theta) = sum_l (cos theta X_l + sin theta Z_l)
# frustration: H(phi) = sum_w (cos phi XIX + sin phi XXX + XXY + YXX), 3-site windows
# pairing_true = optimal (bottleneck) worst-partner distance for lambda -> -lambda-2sigma
# rate_error / freq_error = the same test on the real / imaginary parts alone
# verdict = the C# classifier's (greedy metric, threshold 1e-6), carried over from simulations/results/tilt_sweep_csharp.tsv
# angle_deg is that file's grid, rounded to 4 decimals; nine small angles are a radian
#   ladder (1e-4 to 5e-2 rad) and were evaluated at their exact value, not the rounded one
# the two angle-0 rows are the protected point: every column there is eigensolver noise
edge	angle_deg	verdict	pairing_true	rate_error	freq_error
frustration	73.0000	Hard	2.193524E-02	2.193524E-02	4.973799E-14
frustration	73.5000	Hard	2.141974E-02	2.141974E-02	3.552714E-14
frustration	74.0000	Hard	2.088870E-02	2.088870E-02	4.085621E-14
frustration	74.5000	Hard	2.034303E-02	2.034303E-02	8.704149E-14
frustration	75.0000	Hard	1.978379E-02	1.978379E-02	6.927792E-14
frustration	75.5000	Hard	1.921219E-02	1.921219E-02	6.306067E-14
frustration	76.0000	Hard	1.862956E-02	1.862956E-02	4.618528E-14
frustration	76.5000	Hard	1.803734E-02	1.803734E-02	5.417888E-14
frustration	77.0000	Hard	1.743704E-02	1.743704E-02	4.529710E-14
frustration	77.5000	Hard	1.683020E-02	1.683020E-02	6.306067E-14
frustration	78.0000	Hard	1.621839E-02	1.621839E-02	4.529710E-14
frustration	78.5000	Hard	1.560312E-02	1.560312E-02	4.796163E-14
frustration	79.0000	Hard	1.498581E-02	1.498581E-02	5.684342E-14
frustration	79.5000	Hard	1.436774E-02	1.436774E-02	6.661338E-14
frustration	80.0000	Hard	1.374995E-02	1.374995E-02	6.306067E-14
frustration	80.5000	Hard	1.398488E-02	1.313317E-02	4.973799E-14
frustration	81.0000	Hard	1.439117E-02	1.390066E-02	3.730349E-14
frustration	81.5000	Hard	1.481073E-02	1.481073E-02	7.371881E-14
frustration	82.0000	Hard	1.524269E-02	1.524269E-02	6.039613E-14
frustration	82.5000	Hard	1.568519E-02	1.568519E-02	5.062617E-14
frustration	83.0000	Hard	1.613519E-02	1.613519E-02	3.996803E-14
frustration	83.5000	Hard	1.658832E-02	1.658832E-02	4.796163E-14
frustration	84.0000	Hard	1.703883E-02	1.703883E-02	5.151435E-14
frustration	84.5000	Hard	1.747974E-02	1.747974E-02	5.595524E-14
frustration	85.0000	Hard	1.790317E-02	1.790317E-02	5.062617E-14
frustration	85.5000	Hard	1.698072E-02	1.698072E-02	6.927792E-14
frustration	86.0000	Hard	1.810579E-02	1.810579E-02	3.552714E-14
frustration	86.5000	Hard	1.886392E-02	1.886392E-02	5.151435E-14
frustration	87.0000	Hard	1.933038E-02	1.933038E-02	1.136868E-13
frustration	87.5000	Hard	1.959274E-02	1.959274E-02	4.085621E-14
frustration	88.0000	Hard	1.972970E-02	1.972970E-02	8.526513E-14
frustration	88.5000	Hard	1.979862E-02	1.979862E-02	6.661338E-14
frustration	89.0000	Hard	1.983354E-02	1.983354E-02	4.707346E-14
frustration	89.5000	Hard	1.985064E-02	1.985064E-02	5.151435E-14
frustration	90.0000	Hard	1.985590E-02	1.985590E-02	5.062617E-14
