eigvec_idx	eigenvalue_re	eigenvalue_im	pauli_string	xy_weight	coeff_abs	coeff_phase
0	-0.09999999999999981	-4.8806051127425794E-15	IIIIX	1	0.023388720699112138	0.4519944879518713
0	-0.09999999999999981	-4.8806051127425794E-15	IIIIY	1	0.023373303977147968	2.0235024811175095
0	-0.09999999999999981	-4.8806051127425794E-15	IIIXI	1	0.023388720699111857	0.45199448795185987
0	-0.09999999999999981	-4.8806051127425794E-15	IIIXZ	1	0.023397117003327805	0.45150516320241385
0	-0.09999999999999981	-4.8806051127425794E-15	IIIYI	1	0.02337330397714768	2.023502481117499
0	-0.09999999999999981	-4.8806051127425794E-15	IIIYZ	1	0.023366064677171023	2.023975700274227
0	-0.09999999999999981	-4.8806051127425794E-15	IIIZX	1	0.023397117003327788	0.4515051632024153
0	-0.09999999999999981	-4.8806051127425794E-15	IIIZY	1	0.023366064677171002	2.023975700274227
0	-0.09999999999999981	-4.8806051127425794E-15	IIXII	1	0.023388720699111788	0.4519944879518576
0	-0.09999999999999981	-4.8806051127425794E-15	IIXIZ	1	0.023397117003327535	0.45150516320240575
0	-0.09999999999999981	-4.8806051127425794E-15	IIXZI	1	0.023397117003327417	0.4515051632024035
0	-0.09999999999999981	-4.8806051127425794E-15	IIXZZ	1	0.02338985339130781	0.4519722515688997
0	-0.09999999999999981	-4.8806051127425794E-15	IIYII	1	0.023373303977147673	2.0235024811174926
0	-0.09999999999999981	-4.8806051127425794E-15	IIYIZ	1	0.023366064677170523	2.023975700274217
0	-0.09999999999999981	-4.8806051127425794E-15	IIYZI	1	0.023366064677170447	2.0239757002742143
0	-0.09999999999999981	-4.8806051127425794E-15	IIYZZ	1	0.023374365505384968	2.0234837612078054
0	-0.09999999999999981	-4.8806051127425794E-15	IIZIX	1	0.023397117003327472	0.4515051632024056
0	-0.09999999999999981	-4.8806051127425794E-15	IIZIY	1	0.023366064677170693	2.0239757002742182
0	-0.09999999999999981	-4.8806051127425794E-15	IIZXI	1	0.023397117003327365	0.45150516320240336
0	-0.09999999999999981	-4.8806051127425794E-15	IIZXZ	1	0.02338985339130814	0.45197225156890963
0	-0.09999999999999981	-4.8806051127425794E-15	IIZYI	1	0.023366064677170506	2.0239757002742143
0	-0.09999999999999981	-4.8806051127425794E-15	IIZYZ	1	0.023374365505385318	2.0234837612078134
0	-0.09999999999999981	-4.8806051127425794E-15	IIZZX	1	0.023389853391307946	0.4519722515689032
0	-0.09999999999999981	-4.8806051127425794E-15	IIZZY	1	0.02337436550538512	2.0234837612078094
0	-0.09999999999999981	-4.8806051127425794E-15	IXIII	1	0.023388720699111902	0.45199448795185176
0	-0.09999999999999981	-4.8806051127425794E-15	IXIIZ	1	0.0233971170033275	0.45150516320240525
0	-0.09999999999999981	-4.8806051127425794E-15	IXIZI	1	0.023397117003327233	0.4515051632023941
0	-0.09999999999999981	-4.8806051127425794E-15	IXIZZ	1	0.02338985339130759	0.45197225156888715
0	-0.09999999999999981	-4.8806051127425794E-15	IXZII	1	0.023397117003327354	0.4515051632024033
0	-0.09999999999999981	-4.8806051127425794E-15	IXZIZ	1	0.023389853391307832	0.4519722515688948
0	-0.09999999999999981	-4.8806051127425794E-15	IXZZI	1	0.02338985339130743	0.45197225156888654
0	-0.09999999999999981	-4.8806051127425794E-15	IXZZZ	1	0.023398048329771964	0.4514842511656771
0	-0.09999999999999981	-4.8806051127425794E-15	IYIII	1	0.02337330397714773	2.0235024811174944
0	-0.09999999999999981	-4.8806051127425794E-15	IYIIZ	1	0.023366064677170485	2.023975700274215
0	-0.09999999999999981	-4.8806051127425794E-15	IYIZI	1	0.02336606467717029	2.023975700274203
0	-0.09999999999999981	-4.8806051127425794E-15	IYIZZ	1	0.023374365505384683	2.0234837612077947
