Re	Im
-0.09999999999999994	-6.938893903907228E-17
-0.09999999999999976	-3.9999999999999996
-0.09999999999999994	-6.938893903907228E-17
-0.09999999999999976	-3.9999999999999996
-0.09999999999999964	4.000000000000001
-0.10000000000000026	-2.8796409701215E-16
-0.10000000000000053	3.9987498046264425
-0.20000000000000015	2.283058724711351E-16
-0.10000000000000027	-3.99874980462644
-0.0999999999999992	4.000000000000002
-0.10000000000000028	-3.8340784230065844E-17
-4.073433347307833E-20	4.315406078163238E-18
0	0
-0.19999999999999998	0
-0.19999999999999998	0
0	0
