==========================================================================
OFF-DIAGONAL JOINT-POPCOUNT SECTORS: FLOOR AND FLATNESS
==========================================================================

  floor(p,q)  = 2*gamma*|p-q|, attained (Absorption Theorem + Hamming)
  flat(p,q)  <=> min(p,q) = 0 or max(p,q) = N (touches vacuum / full)

    (0,1) dim=   5  |Re| in [1.000000, 1.000000]  floor=1.000000  FLAT
    (0,2) dim=  10  |Re| in [2.000000, 2.000000]  floor=2.000000  FLAT
    (0,3) dim=  10  |Re| in [3.000000, 3.000000]  floor=3.000000  FLAT
    (0,4) dim=   5  |Re| in [4.000000, 4.000000]  floor=4.000000  FLAT
    (0,5) dim=   1  |Re| in [5.000000, 5.000000]  floor=5.000000  FLAT
    (1,2) dim=  50  |Re| in [1.000000, 3.000000]  floor=1.000000  spread
    (1,3) dim=  50  |Re| in [2.000000, 4.000000]  floor=2.000000  spread
    (1,4) dim=  25  |Re| in [3.000000, 5.000000]  floor=3.000000  spread
    (1,5) dim=   5  |Re| in [4.000000, 4.000000]  floor=4.000000  FLAT
    (2,3) dim= 100  |Re| in [1.000000, 5.000000]  floor=1.000000  spread
    (2,4) dim=  50  |Re| in [2.000000, 4.000000]  floor=2.000000  spread
    (2,5) dim=  10  |Re| in [3.000000, 3.000000]  floor=3.000000  FLAT
    (3,4) dim=  50  |Re| in [1.000000, 3.000000]  floor=1.000000  spread
    (3,5) dim=  10  |Re| in [2.000000, 2.000000]  floor=2.000000  FLAT
    (4,5) dim=   5  |Re| in [1.000000, 1.000000]  floor=1.000000  FLAT

--- N=5, J=1.0, gamma=0.05 (30 off-diagonal sectors) ---
    (0,1) dim=   5  |Re| in [0.100000, 0.100000]  floor=0.100000  FLAT
    (0,2) dim=  10  |Re| in [0.200000, 0.200000]  floor=0.200000  FLAT
    (0,3) dim=  10  |Re| in [0.300000, 0.300000]  floor=0.300000  FLAT
    (0,4) dim=   5  |Re| in [0.400000, 0.400000]  floor=0.400000  FLAT
    (0,5) dim=   1  |Re| in [0.500000, 0.500000]  floor=0.500000  FLAT
    (1,2) dim=  50  |Re| in [0.100000, 0.300000]  floor=0.100000  spread
    (1,3) dim=  50  |Re| in [0.200000, 0.400000]  floor=0.200000  spread
    (1,4) dim=  25  |Re| in [0.300000, 0.500000]  floor=0.300000  spread
    (1,5) dim=   5  |Re| in [0.400000, 0.400000]  floor=0.400000  FLAT
    (2,3) dim= 100  |Re| in [0.100000, 0.500000]  floor=0.100000  spread
    (2,4) dim=  50  |Re| in [0.200000, 0.400000]  floor=0.200000  spread
    (2,5) dim=  10  |Re| in [0.300000, 0.300000]  floor=0.300000  FLAT
    (3,4) dim=  50  |Re| in [0.100000, 0.300000]  floor=0.100000  spread
    (3,5) dim=  10  |Re| in [0.200000, 0.200000]  floor=0.200000  FLAT
    (4,5) dim=   5  |Re| in [0.100000, 0.100000]  floor=0.100000  FLAT

--- N=5, J=0.3, gamma=0.7 (30 off-diagonal sectors) ---
